level,file,issue,n
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,missing_in_warehouse,141355
MUN,2024_SEE_DIP_FED_MR_NAL_MUN.csv,missing_in_warehouse,4944
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,value_mismatch,4314
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,value_mismatch,4007
DIS,2024_SEE_SEN_FED_MR_NAL_DISPP.csv,value_mismatch,2729
MUN,2024_SEE_SEN_FED_MR_NAL_MUN.csv,value_mismatch,2641
DIS,2024_SEE_DIP_FED_MR_NAL_DISPP.csv,value_mismatch,2517
DIS,2024_SEE_SEN_FED_MR_NAL_DIS.csv,value_mismatch,2488
DIS,2024_SEE_DIP_FED_MR_NAL_DISCAND.csv,missing_in_warehouse,2306
DIS,2024_SEE_PRE_NAL_DISPP.csv,value_mismatch,2281
MUN,2024_SEE_DIP_FED_MR_NAL_MUN.csv,value_mismatch,2154
DIS,2024_SEE_DIP_FED_RP_NAL_DISPP.csv,value_mismatch,2108
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,2073
DIS,2024_SEE_SEN_FED_RP_NAL_DISPP.csv,value_mismatch,2046
SEC,2024_SEE_DIP_FED_RP_NAL_SEC.csv,value_mismatch,2017
DIS,2024_SEE_SEN_FED_MR_NAL_DISCAND.csv,missing_in_warehouse,1796
SEC,2024_SEE_SEN_FED_RP_NAL_SEC.csv,value_mismatch,1763
DIS,2024_SEE_SEN_FED_MR_NAL_DISCAND.csv,value_mismatch,1661
DIS,2024_SEE_DIP_FED_MR_NAL_DISCAND.csv,value_mismatch,1410
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,missing_in_warehouse,1096
MUN,2024_SEE_DIP_FED_RP_NAL_MUN.csv,value_mismatch,1040
MUN,2024_SEE_SEN_FED_RP_NAL_MUN.csv,value_mismatch,976
DIS,2024_SEE_PRE_NAL_DISCAND.csv,value_mismatch,953
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,missing_in_warehouse,782
DIS,2024_SEE_DIP_FED_MR_NAL_DISPP.csv,missing_in_warehouse,598
DIS,2024_SEE_SEN_FED_MR_NAL_DIS.csv,missing_in_warehouse,584
ENT,2024_SEE_SEN_FED_MR_NAL_ENT.csv,value_mismatch,542
ENT,2024_SEE_DIP_FED_MR_NAL_ENT.csv,value_mismatch,505
ENT,2024_SEE_SEN_FED_MR_NAL_ENTPP.csv,value_mismatch,427
ENT,2024_SEE_DIP_FED_MR_NAL_ENTPP.csv,value_mismatch,352
ENT,2024_SEE_SEN_FED_MR_NAL_ENTCAND.csv,value_mismatch,327
ENT,2024_SEE_PRE_NAL_ENTPP.csv,value_mismatch,320
ENT,2024_SEE_SEN_FED_RP_NAL_ENTPP.csv,value_mismatch,314
SEC,2024_SEE_PRE_NAL_SEC.csv,value_mismatch,291
DIS,2024_SEE_PRE_NAL_DIS.csv,value_mismatch,289
ENT,2024_SEE_DIP_FED_RP_NAL_ENTPP.csv,value_mismatch,271
ENT,2024_SEE_DIP_FED_MR_NAL_ENTCAND.csv,value_mismatch,268
MUN,2024_SEE_PRE_NAL_MUN.csv,value_mismatch,231
ENT,2024_SEE_DIP_FED_MR_NAL_ENTCAND.csv,missing_in_warehouse,210
ENT,2024_SEE_PRE_NAL_ENTCAND.csv,value_mismatch,192
ENT,2024_SEE_SEN_FED_MR_NAL_ENTCAND.csv,missing_in_warehouse,164
ENT,2024_SEE_PRE_NAL_ENT.csv,value_mismatch,128
SEC,2024_SEE_SEN_FED_RP_NAL_SEC.csv,missing_in_warehouse,70
ENT,2024_SEE_DIP_FED_MR_NAL_ENT.csv,missing_in_warehouse,66
DIS,2024_SEE_PRE_NAL_DIS.csv,missing_in_warehouse,64
DIS,2024_SEE_PRE_NAL_DISCAND.csv,missing_in_warehouse,64
DIS,2024_SEE_PRE_NAL_DISPP.csv,missing_in_warehouse,64
DIS,2024_SEE_SEN_FED_MR_NAL_DISPP.csv,missing_in_warehouse,64
DIS,2024_SEE_SEN_FED_RP_NAL_DISPP.csv,missing_in_warehouse,64
MUN,2024_SEE_PRE_NAL_MUN.csv,missing_in_warehouse,64
MUN,2024_SEE_SEN_FED_RP_NAL_MUN.csv,missing_in_warehouse,64
CIR,2024_SEE_DIP_FED_RP_NAL_CIR.csv,value_mismatch,63
ENT,2024_SEE_DIP_FED_MR_NAL_ENTPP.csv,missing_in_warehouse,62
DIS,2024_SEE_SEN_FED_RP_NAL_DISPP.csv,missing_in_csv,60
SEC,2024_SEE_DIP_FED_RP_NAL_SEC.csv,missing_in_warehouse,38
ENT,2024_SEE_DIP_FED_RP_NAL_ENTPP.csv,missing_in_csv,34
MUN,2024_SEE_SEN_FED_MR_NAL_MUN.csv,missing_in_warehouse,32
SEC,2024_SEE_PRE_NAL_SEC.csv,missing_in_warehouse,32
NAL,2024_SEE_DIP_FED_MR_NAL.csv,value_mismatch,23
NAL,2024_SEE_SEN_FED_MR_NAL.csv,value_mismatch,23
ENT,2024_SEE_DIP_FED_MR_NAL_ENTCAND.csv,missing_in_csv,21
DIS,2024_SEE_DIP_FED_MR_NAL_DISCAND.csv,missing_in_csv,19
NAL,2024_SEE_DIP_FED_MR_NALCAND.csv,value_mismatch,17
NAL,2024_SEE_SEN_FED_MR_NALCAND.csv,value_mismatch,17
NAL,2024_SEE_DIP_FED_MR_NALPP.csv,value_mismatch,15
NAL,2024_SEE_DIP_FED_RP_NALPP.csv,value_mismatch,15
NAL,2024_SEE_SEN_FED_MR_NALPP.csv,value_mismatch,15
NAL,2024_SEE_SEN_FED_RP_NALPP.csv,value_mismatch,15
NAL,2024_SEE_PRE_NALPP.csv,value_mismatch,10
ENT,2024_SEE_SEN_FED_MR_NAL_ENT.csv,missing_in_warehouse,8
NAL,2024_SEE_PRE_NALCAND.csv,value_mismatch,6
NAL,2024_SEE_PRE_NAL.csv,value_mismatch,4
