level,file,issue,metric,n
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,missing_in_warehouse,CAND_IND1,70330
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,missing_in_warehouse,CAND_IND2,70322
MUN,2024_SEE_DIP_FED_MR_NAL_MUN.csv,missing_in_warehouse,CAND_IND1,2474
MUN,2024_SEE_DIP_FED_MR_NAL_MUN.csv,missing_in_warehouse,CAND_IND2,2470
SEC,2024_SEE_DIP_FED_RP_NAL_SEC.csv,value_mismatch,CASILLAS,1257
SEC,2024_SEE_SEN_FED_RP_NAL_SEC.csv,value_mismatch,CASILLAS,1257
MUN,2024_SEE_DIP_FED_RP_NAL_MUN.csv,value_mismatch,CASILLAS,577
MUN,2024_SEE_SEN_FED_RP_NAL_MUN.csv,value_mismatch,CASILLAS,577
DIS,2024_SEE_PRE_NAL_DISCAND.csv,value_mismatch,PAN_PRI_PRD,332
DIS,2024_SEE_PRE_NAL_DISCAND.csv,value_mismatch,PVEM_PT_MORENA,332
DIS,2024_SEE_PRE_NAL_DISPP.csv,value_mismatch,MORENA,332
DIS,2024_SEE_PRE_NAL_DISPP.csv,value_mismatch,PAN,332
DIS,2024_SEE_PRE_NAL_DISPP.csv,value_mismatch,PRD,332
DIS,2024_SEE_PRE_NAL_DISPP.csv,value_mismatch,PRI,332
DIS,2024_SEE_PRE_NAL_DISPP.csv,value_mismatch,PT,332
DIS,2024_SEE_PRE_NAL_DISPP.csv,value_mismatch,PVEM,332
DIS,2024_SEE_SEN_FED_MR_NAL_DISPP.csv,value_mismatch,PAN,314
DIS,2024_SEE_SEN_FED_MR_NAL_DISPP.csv,value_mismatch,PRD,314
DIS,2024_SEE_SEN_FED_MR_NAL_DISPP.csv,value_mismatch,PRI,314
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,value_mismatch,MC,308
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,value_mismatch,NUM_VOTOS_VALIDOS,308
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,value_mismatch,PRI,308
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,value_mismatch,PVEM,308
