id_estado,nombre_estado,id_distrito_federal,nombre_distrito,n_casillas,total_votes,election_id,winner_party
1,AGUASCALIENTES,1,,300,96338,DIP_MR_2000,A. CAM.
1,AGUASCALIENTES,2,,353,137290,DIP_MR_2000,A. CAM.
1,AGUASCALIENTES,3,,350,130183,DIP_MR_2000,A. CAM.
2,BAJA CALIFORNIA,1,,440,139356,DIP_MR_2000,A. CAM.
2,BAJA CALIFORNIA,2,,453,139360,DIP_MR_2000,A. CAM.
2,BAJA CALIFORNIA,3,,546,166833,DIP_MR_2000,A. CAM.
2,BAJA CALIFORNIA,4,,482,146655,DIP_MR_2000,A. CAM.
2,BAJA CALIFORNIA,5,,413,120645,DIP_MR_2000,A. CAM.
2,BAJA CALIFORNIA,6,,411,115927,DIP_MR_2000,A. CAM.
3,BAJA CALIFORNIA SUR,1,,184,47447,DIP_MR_2000,PRI
3,BAJA CALIFORNIA SUR,2,,357,110600,DIP_MR_2000,A. MEX.
4,CAMPECHE,1,,412,134172,DIP_MR_2000,PRI
4,CAMPECHE,2,,396,109790,DIP_MR_2000,PRI
5,COAHUILA DE ZARAGOZA,1,,420,115492,DIP_MR_2000,PRI
5,COAHUILA DE ZARAGOZA,2,,313,79121,DIP_MR_2000,PRI
5,COAHUILA DE ZARAGOZA,3,,427,122855,DIP_MR_2000,A. CAM.
5,COAHUILA DE ZARAGOZA,4,,387,111043,DIP_MR_2000,A. CAM.
5,COAHUILA DE ZARAGOZA,5,,395,130750,DIP_MR_2000,A. CAM.
5,COAHUILA DE ZARAGOZA,6,,343,123173,DIP_MR_2000,A. CAM.
5,COAHUILA DE ZARAGOZA,7,,368,109530,DIP_MR_2000,PRI
6,COLIMA,1,,329,114609,DIP_MR_2000,A. CAM.
6,COLIMA,2,,323,95544,DIP_MR_2000,PRI
7,CHIAPAS,1,,357,87373,DIP_MR_2000,PRI
7,CHIAPAS,2,,300,76075,DIP_MR_2000,PRI
7,CHIAPAS,3,,339,74546,DIP_MR_2000,PRI
7,CHIAPAS,4,,317,76928,DIP_MR_2000,PRI
7,CHIAPAS,5,,367,86473,DIP_MR_2000,PRI
7,CHIAPAS,6,,318,79751,DIP_MR_2000,PRI
7,CHIAPAS,7,,302,76818,DIP_MR_2000,PRI
7,CHIAPAS,8,,285,69508,DIP_MR_2000,PRI
7,CHIAPAS,9,,408,137069,DIP_MR_2000,A. CAM.
7,CHIAPAS,10,,270,63891,DIP_MR_2000,PRI
7,CHIAPAS,11,,275,73743,DIP_MR_2000,PRI
7,CHIAPAS,12,,398,116380,DIP_MR_2000,PRI
8,CHIHUAHUA,1,,385,88536,DIP_MR_2000,PRI
8,CHIHUAHUA,2,,433,121371,DIP_MR_2000,A. CAM.
8,CHIHUAHUA,3,,483,151731,DIP_MR_2000,A. CAM.
8,CHIHUAHUA,4,,460,133548,DIP_MR_2000,A. CAM.
8,CHIHUAHUA,5,,461,123860,DIP_MR_2000,A. CAM.
8,CHIHUAHUA,6,,434,153688,DIP_MR_2000,A. CAM.
8,CHIHUAHUA,7,,533,93687,DIP_MR_2000,PRI
8,CHIHUAHUA,8,,406,130425,DIP_MR_2000,A. CAM.
8,CHIHUAHUA,9,,427,96763,DIP_MR_2000,PRI
9,CIUDAD DE MÉXICO,1,,425,159506,DIP_MR_2000,A. CAM.
9,CIUDAD DE MÉXICO,2,,334,125612,DIP_MR_2000,A. CAM.
9,CIUDAD DE MÉXICO,3,,355,138969,DIP_MR_2000,A. CAM.
9,CIUDAD DE MÉXICO,4,,351,127498,DIP_MR_2000,A. CAM.
9,CIUDAD DE MÉXICO,5,,335,133381,DIP_MR_2000,A. CAM.
9,CIUDAD DE MÉXICO,6,,363,137454,DIP_MR_2000,A. CAM.
9,CIUDAD DE MÉXICO,7,,348,140731,DIP_MR_2000,A. CAM.
9,CIUDAD DE MÉXICO,8,,385,142942,DIP_MR_2000,A. CAM.
9,CIUDAD DE MÉXICO,9,,312,121762,DIP_MR_2000,A. CAM.
9,CIUDAD DE MÉXICO,10,,366,137270,DIP_MR_2000,A. CAM.
9,CIUDAD DE MÉXICO,11,,349,135215,DIP_MR_2000,A. CAM.
9,CIUDAD DE MÉXICO,12,,372,138339,DIP_MR_2000,A. CAM.
9,CIUDAD DE MÉXICO,13,,386,143323,DIP_MR_2000,A. CAM.
9,CIUDAD DE MÉXICO,14,,330,135879,DIP_MR_2000,A. CAM.
9,CIUDAD DE MÉXICO,15,,394,162049,DIP_MR_2000,A. CAM.
9,CIUDAD DE MÉXICO,16,,330,124789,DIP_MR_2000,A. CAM.
9,CIUDAD DE MÉXICO,17,,321,125623,DIP_MR_2000,A. CAM.
9,CIUDAD DE MÉXICO,18,,404,151981,DIP_MR_2000,A. CAM.
9,CIUDAD DE MÉXICO,19,,348,136614,DIP_MR_2000,A. MEX.
9,CIUDAD DE MÉXICO,20,,413,158083,DIP_MR_2000,A. CAM.
9,CIUDAD DE MÉXICO,21,,373,144157,DIP_MR_2000,A. CAM.
9,CIUDAD DE MÉXICO,22,,422,150716,DIP_MR_2000,A. MEX.
9,CIUDAD DE MÉXICO,23,,402,163404,DIP_MR_2000,A. MEX.
9,CIUDAD DE MÉXICO,24,,384,163965,DIP_MR_2000,A. CAM.
9,CIUDAD DE MÉXICO,25,,437,164760,DIP_MR_2000,A. MEX.
9,CIUDAD DE MÉXICO,26,,366,141220,DIP_MR_2000,A. CAM.
9,CIUDAD DE MÉXICO,27,,387,153082,DIP_MR_2000,A. MEX.
9,CIUDAD DE MÉXICO,28,,388,154967,DIP_MR_2000,A. MEX.
9,CIUDAD DE MÉXICO,29,,343,134856,DIP_MR_2000,A. MEX.
9,CIUDAD DE MÉXICO,30,,362,144293,DIP_MR_2000,A. CAM.
10,DURANGO,1,,430,65464,DIP_MR_2000,PRI
10,DURANGO,2,,386,112217,DIP_MR_2000,A. CAM.
10,DURANGO,3,,406,91654,DIP_MR_2000,PRI
10,DURANGO,4,,395,105968,DIP_MR_2000,PRI
10,DURANGO,5,,348,111460,DIP_MR_2000,A. CAM.
11,GUANAJUATO,1,,295,87291,DIP_MR_2000,PRI
11,GUANAJUATO,2,,394,117714,DIP_MR_2000,A. CAM.
11,GUANAJUATO,3,,425,170056,DIP_MR_2000,A. CAM.
11,GUANAJUATO,4,,308,105659,DIP_MR_2000,A. CAM.
11,GUANAJUATO,5,,387,158229,DIP_MR_2000,A. CAM.
11,GUANAJUATO,6,,354,146395,DIP_MR_2000,A. CAM.
11,GUANAJUATO,7,,308,95334,DIP_MR_2000,A. CAM.
11,GUANAJUATO,8,,347,124463,DIP_MR_2000,A. CAM.
11,GUANAJUATO,9,,475,172029,DIP_MR_2000,A. CAM.
11,GUANAJUATO,10,,283,87447,DIP_MR_2000,A. CAM.
11,GUANAJUATO,11,,291,86062,DIP_MR_2000,A. CAM.
11,GUANAJUATO,12,,423,154195,DIP_MR_2000,A. CAM.
11,GUANAJUATO,13,,290,93120,DIP_MR_2000,A. CAM.
11,GUANAJUATO,14,,301,81965,DIP_MR_2000,A. CAM.
11,GUANAJUATO,15,,351,105446,DIP_MR_2000,A. CAM.
12,GUERRERO,1,,414,78805,DIP_MR_2000,PRI
12,GUERRERO,2,,437,83753,DIP_MR_2000,PRI
12,GUERRERO,3,,459,98646,DIP_MR_2000,PRI
12,GUERRERO,4,,373,85746,DIP_MR_2000,PRI
12,GUERRERO,5,,298,56676,DIP_MR_2000,PRI
12,GUERRERO,6,,388,73168,DIP_MR_2000,PRI
12,GUERRERO,7,,390,98970,DIP_MR_2000,PRI
12,GUERRERO,8,,425,89615,DIP_MR_2000,PRI
12,GUERRERO,9,,403,116630,DIP_MR_2000,PRI
12,GUERRERO,10,,374,115624,DIP_MR_2000,A. MEX.
13,HIDALGO,1,,369,100922,DIP_MR_2000,PRI
13,HIDALGO,2,,468,105342,DIP_MR_2000,PRI
13,HIDALGO,3,,395,101546,DIP_MR_2000,PRI
13,HIDALGO,4,,330,101197,DIP_MR_2000,PRI
13,HIDALGO,5,,380,127771,DIP_MR_2000,PRI
13,HIDALGO,6,,362,131568,DIP_MR_2000,PRI
13,HIDALGO,7,,352,117931,DIP_MR_2000,PRI
14,JALISCO,1,,331,99407,DIP_MR_2000,PRI
14,JALISCO,2,,376,127791,DIP_MR_2000,A. CAM.
14,JALISCO,3,,380,127592,DIP_MR_2000,A. CAM.
14,JALISCO,4,,358,144134,DIP_MR_2000,A. CAM.
14,JALISCO,5,,365,114878,DIP_MR_2000,PRI
14,JALISCO,6,,341,139219,DIP_MR_2000,A. CAM.
14,JALISCO,7,,396,157688,DIP_MR_2000,A. CAM.
14,JALISCO,8,,354,143856,DIP_MR_2000,A. CAM.
14,JALISCO,9,,328,126999,DIP_MR_2000,A. CAM.
14,JALISCO,10,,307,138391,DIP_MR_2000,A. CAM.
14,JALISCO,11,,337,132267,DIP_MR_2000,A. CAM.
14,JALISCO,12,,357,143294,DIP_MR_2000,A. CAM.
14,JALISCO,13,,351,134453,DIP_MR_2000,A. CAM.
14,JALISCO,14,,334,132407,DIP_MR_2000,A. CAM.
14,JALISCO,15,,394,132881,DIP_MR_2000,A. CAM.
14,JALISCO,16,,399,159617,DIP_MR_2000,A. CAM.
14,JALISCO,17,,412,139943,DIP_MR_2000,A. CAM.
14,JALISCO,18,,391,117472,DIP_MR_2000,PRI
14,JALISCO,19,,416,129928,DIP_MR_2000,A. CAM.
15,MÉXICO,1,,389,123635,DIP_MR_2000,PRI
15,MÉXICO,2,,377,140890,DIP_MR_2000,PRI
15,MÉXICO,3,,323,94874,DIP_MR_2000,PRI
15,MÉXICO,4,,384,147847,DIP_MR_2000,A. CAM.
15,MÉXICO,5,,432,164104,DIP_MR_2000,A. CAM.
15,MÉXICO,6,,364,149234,DIP_MR_2000,A. CAM.
15,MÉXICO,7,,470,193750,DIP_MR_2000,A. CAM.
15,MÉXICO,8,,458,183487,DIP_MR_2000,A. CAM.
15,MÉXICO,9,,346,119056,DIP_MR_2000,PRI
15,MÉXICO,10,,428,171506,DIP_MR_2000,A. CAM.
15,MÉXICO,11,,374,151605,DIP_MR_2000,A. CAM.
15,MÉXICO,12,,472,185343,DIP_MR_2000,PRI
15,MÉXICO,13,,399,149867,DIP_MR_2000,A. CAM.
15,MÉXICO,14,,458,192734,DIP_MR_2000,A. CAM.
