level,file,issue,n
SEC,2024_SEE_SEN_FED_MR_NAL_SEC.csv,value_mismatch,5067
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,value_mismatch,4512
DIS,2024_SEE_SEN_FED_MR_NAL_DISCAND.csv,value_mismatch,3327
DIS,2024_SEE_DIP_FED_MR_NAL_DISCAND.csv,value_mismatch,3072
DIS,2024_SEE_SEN_FED_MR_NAL_DISPP.csv,value_mismatch,2793
MUN,2024_SEE_SEN_FED_MR_NAL_MUN.csv,value_mismatch,2673
DIS,2024_SEE_SEN_FED_MR_NAL_DIS.csv,value_mismatch,2552
DIS,2024_SEE_DIP_FED_MR_NAL_DISPP.csv,value_mismatch,2517
DIS,2024_SEE_PRE_NAL_DISPP.csv,value_mismatch,2345
MUN,2024_SEE_DIP_FED_MR_NAL_MUN.csv,value_mismatch,2154
DIS,2024_SEE_SEN_FED_RP_NAL_DISPP.csv,value_mismatch,2110
DIS,2024_SEE_DIP_FED_RP_NAL_DISPP.csv,value_mismatch,2108
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,2073
SEC,2024_SEE_DIP_FED_RP_NAL_SEC.csv,value_mismatch,2041
SEC,2024_SEE_SEN_FED_RP_NAL_SEC.csv,value_mismatch,1826
MUN,2024_SEE_DIP_FED_RP_NAL_MUN.csv,value_mismatch,1040
MUN,2024_SEE_SEN_FED_RP_NAL_MUN.csv,value_mismatch,1040
DIS,2024_SEE_PRE_NAL_DISCAND.csv,value_mismatch,1017
ENT,2024_SEE_SEN_FED_MR_NAL_ENT.csv,value_mismatch,542
ENT,2024_SEE_DIP_FED_MR_NAL_ENT.csv,value_mismatch,505
ENT,2024_SEE_SEN_FED_MR_NAL_ENTCAND.csv,value_mismatch,477
ENT,2024_SEE_SEN_FED_MR_NAL_ENTPP.csv,value_mismatch,427
ENT,2024_SEE_DIP_FED_MR_NAL_ENTCAND.csv,value_mismatch,415
DIS,2024_SEE_PRE_NAL_DIS.csv,value_mismatch,353
ENT,2024_SEE_DIP_FED_MR_NAL_ENTPP.csv,value_mismatch,352
SEC,2024_SEE_PRE_NAL_SEC.csv,value_mismatch,323
ENT,2024_SEE_PRE_NAL_ENTPP.csv,value_mismatch,320
ENT,2024_SEE_SEN_FED_RP_NAL_ENTPP.csv,value_mismatch,314
MUN,2024_SEE_PRE_NAL_MUN.csv,value_mismatch,295
ENT,2024_SEE_DIP_FED_RP_NAL_ENTPP.csv,value_mismatch,271
ENT,2024_SEE_PRE_NAL_ENTCAND.csv,value_mismatch,192
ENT,2024_SEE_PRE_NAL_ENT.csv,value_mismatch,128
CIR,2024_SEE_DIP_FED_RP_NAL_CIR.csv,value_mismatch,63
DIS,2024_SEE_SEN_FED_RP_NAL_DISPP.csv,row_missing_in_warehouse,60
ENT,2024_SEE_DIP_FED_RP_NAL_ENTPP.csv,row_missing_in_warehouse,34
NAL,2024_SEE_DIP_FED_MR_NAL.csv,value_mismatch,23
NAL,2024_SEE_SEN_FED_MR_NAL.csv,value_mismatch,23
ENT,2024_SEE_DIP_FED_MR_NAL_ENTCAND.csv,row_missing_in_warehouse,21
DIS,2024_SEE_DIP_FED_MR_NAL_DISCAND.csv,row_missing_in_warehouse,19
NAL,2024_SEE_DIP_FED_MR_NALCAND.csv,value_mismatch,17
NAL,2024_SEE_SEN_FED_MR_NALCAND.csv,value_mismatch,17
DIS,2024_SEE_PRE_NAL_DISCAND.csv,measure_column_missing_in_csv,15
NAL,2024_SEE_DIP_FED_MR_NALPP.csv,value_mismatch,15
NAL,2024_SEE_DIP_FED_RP_NALPP.csv,value_mismatch,15
NAL,2024_SEE_SEN_FED_MR_NALPP.csv,value_mismatch,15
NAL,2024_SEE_SEN_FED_RP_NALPP.csv,value_mismatch,15
ENT,2024_SEE_PRE_NAL_ENTCAND.csv,measure_column_missing_in_csv,13
NAL,2024_SEE_PRE_NALCAND.csv,measure_column_missing_in_csv,12
DIS,2024_SEE_DIP_FED_MR_NAL_DISPP.csv,measure_column_missing_in_csv,11
DIS,2024_SEE_DIP_FED_RP_NAL_DISPP.csv,measure_column_missing_in_csv,11
DIS,2024_SEE_PRE_NAL_DISPP.csv,measure_column_missing_in_csv,11
DIS,2024_SEE_SEN_FED_MR_NAL_DISPP.csv,measure_column_missing_in_csv,11
DIS,2024_SEE_SEN_FED_RP_NAL_DISPP.csv,measure_column_missing_in_csv,11
NAL,2024_SEE_PRE_NALPP.csv,value_mismatch,10
CIR,2024_SEE_DIP_FED_RP_NAL_CIR.csv,measure_column_missing_in_csv,9
DIS,2024_SEE_DIP_FED_MR_NAL_DISCAND.csv,measure_column_missing_in_csv,9
DIS,2024_SEE_SEN_FED_MR_NAL_DISCAND.csv,measure_column_missing_in_csv,9
ENT,2024_SEE_DIP_FED_MR_NAL_ENTPP.csv,measure_column_missing_in_csv,9
ENT,2024_SEE_DIP_FED_RP_NAL_ENTPP.csv,measure_column_missing_in_csv,9
ENT,2024_SEE_PRE_NAL_ENTPP.csv,measure_column_missing_in_csv,9
ENT,2024_SEE_SEN_FED_MR_NAL_ENTPP.csv,measure_column_missing_in_csv,9
ENT,2024_SEE_SEN_FED_RP_NAL_ENTPP.csv,measure_column_missing_in_csv,9
NAL,2024_SEE_DIP_FED_MR_NALPP.csv,measure_column_missing_in_csv,8
NAL,2024_SEE_DIP_FED_RP_NALPP.csv,measure_column_missing_in_csv,8
NAL,2024_SEE_PRE_NALPP.csv,measure_column_missing_in_csv,8
NAL,2024_SEE_SEN_FED_MR_NALPP.csv,measure_column_missing_in_csv,8
NAL,2024_SEE_SEN_FED_RP_NALPP.csv,measure_column_missing_in_csv,8
ENT,2024_SEE_DIP_FED_MR_NAL_ENTCAND.csv,measure_column_missing_in_csv,7
ENT,2024_SEE_SEN_FED_MR_NAL_ENTCAND.csv,measure_column_missing_in_csv,7
NAL,2024_SEE_DIP_FED_MR_NALCAND.csv,measure_column_missing_in_csv,6
NAL,2024_SEE_PRE_NALCAND.csv,value_mismatch,6
NAL,2024_SEE_SEN_FED_MR_NALCAND.csv,measure_column_missing_in_csv,6
NAL,2024_SEE_PRE_NAL.csv,value_mismatch,4
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,measure_column_missing_in_csv,4
