level,file,issue,metric,ID_ESTADO,ID_DISTRITO_FEDERAL,expected,actual,diff,ID_MUNICIPIO,SECCION,QA_KEY,CIRCUNSCRIPCION
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,measure_column_missing_in_csv,MUNICIPIOS,NA,NA,NA,NA,NA,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,measure_column_missing_in_csv,DISTRITOS,NA,NA,NA,NA,NA,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,measure_column_missing_in_csv,ESTADOS,NA,NA,NA,NA,NA,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,CASILLAS,1,1,577,576,-1,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,CASILLAS,1,2,592,591,-1,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,CASILLAS,1,3,676,675,-1,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,MC,2,1,14724,14628,-96,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,MORENA,2,1,76286,75742,-544,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PAN,2,1,47644,47383,-261,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PAN_PRI,2,1,530,524,-6,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PAN_PRI_PRD,2,1,1756,1745,-11,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PRD,2,1,1436,1429,-7,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PRI,2,1,8619,8563,-56,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PT,2,1,3670,3640,-30,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PVEM,2,1,6695,6631,-64,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,NUM_VOTOS_VALIDOS,2,1,161421,160346,-1075,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,NUM_VOTOS_NULOS,2,1,7105,7039,-66,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,TOTAL_VOTOS,2,1,168671,167530,-1141,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,CASILLAS,2,1,550,549,-1,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,MC,2,2,14126,14100,-26,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,MORENA,2,2,83940,83643,-297,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PAN,2,2,33223,33177,-46,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PRD,2,2,1411,1405,-6,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PRI,2,2,7207,7198,-9,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PT,2,2,5497,5473,-24,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PVEM,2,2,8013,7992,-21,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,NUM_VOTOS_VALIDOS,2,2,155082,154653,-429,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,NUM_VOTOS_NULOS,2,2,8357,8327,-30,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,TOTAL_VOTOS,2,2,163585,163126,-459,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,CASILLAS,2,2,582,581,-1,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,CASILLAS,2,3,558,557,-1,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,MC,2,4,14220,14150,-70,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,MORENA,2,4,104691,103978,-713,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PAN,2,4,9052,9012,-40,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PAN_PRI,2,4,132,131,-1,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PRD,2,4,1471,1466,-5,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PRI,2,4,4236,4213,-23,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PT,2,4,16125,16036,-89,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PVEM,2,4,11370,11309,-61,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,NUM_VOTOS_VALIDOS,2,4,161818,160816,-1002,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,NUM_VOTOS_CAN_NREG,2,4,203,202,-1,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,NUM_VOTOS_NULOS,2,4,9757,9697,-60,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,TOTAL_VOTOS,2,4,171778,170715,-1063,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,CASILLAS,2,4,642,641,-1,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,MC,2,5,18763,18745,-18,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,MORENA,2,5,89005,88842,-163,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PAN,2,5,38577,38546,-31,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PAN_PRI,2,5,415,414,-1,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PAN_PRI_PRD,2,5,1718,1717,-1,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PRD,2,5,2449,2444,-5,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PRI,2,5,11335,11324,-11,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PT,2,5,12905,12884,-21,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PVEM,2,5,11764,11749,-15,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,NUM_VOTOS_VALIDOS,2,5,187016,186750,-266,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,NUM_VOTOS_NULOS,2,5,9700,9676,-24,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,TOTAL_VOTOS,2,5,197018,196728,-290,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,CASILLAS,2,5,662,661,-1,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,MC,2,6,17832,17784,-48,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,MORENA,2,6,87916,87642,-274,NA,NA,NA,NA
DIS,2024_SEE_DIP_FED_MR_NAL_DIS.csv,value_mismatch,PAN,2,6,27464,27426,-38,NA,NA,NA,NA
