"Column Name","Data Type","Role","Description (SPA)","Description (ENG)","Values / Domain","Notes"
"id_estado","integer","Dimension","Identificador numerico de la entidad federativa en el archivo .dat.","Numeric state identifier in the .dat file.","1-32.","Se valida contra la ruta del archivo y se normaliza como ID_ESTADO."
"distrito","integer","Dimension / Partial Key","Distrito electoral federal dentro de la entidad.","Federal electoral district within the state.","1-N por entidad.","El script usa el distrito de la ruta como referencia principal y lo normaliza como ID_DISTRITO."
"seccion","integer","Dimension / Partial Key","Seccion electoral donde se instalo la casilla.","Electoral section where the polling station was installed.","1-N por entidad.","Participa en geo_id y casilla_id."
"casilla","string","Dimension / Partial Key","Etiqueta textual de casilla en el archivo original.","Text polling-station label in the original file.","BASICA 1, CONTIGUA 1, EXTRAORDINARIA 1, ESPECIAL 1, etc.","Se parsea a TIPO_CASILLA e ID_CASILLA; algunas CONTIGUA sin numero reciben un consecutivo tecnico para evitar colisiones."
"A. CAM.","integer","Measure","Votos para la opcion Alianza por el Cambio.","Votes for the Alianza por el Cambio option.",">= 0","Coalicion/etiqueta historica de 2000; se conserva como party_key de fuente."
"PRI","integer","Measure","Votos obtenidos por el PRI.","Votes for Partido Revolucionario Institucional.",">= 0","Se convierte de columna ancha a fila de fact_casilla_vote."
"A. MEX.","integer","Measure","Votos para la opcion Alianza por Mexico.","Votes for the Alianza por Mexico option.",">= 0","Coalicion/etiqueta historica de 2000; se conserva como party_key de fuente."
"PCD","integer","Measure","Votos obtenidos por el PCD.","Votes for Partido de Centro Democratico.",">= 0","Partido historico de 2000."
"PARM","integer","Measure","Votos obtenidos por el PARM.","Votes for Partido Autentico de la Revolucion Mexicana.",">= 0","Partido historico de 2000."
"DSPPN","integer","Measure","Votos obtenidos por Democracia Social Partido Politico Nacional.","Votes for Democracia Social Partido Politico Nacional.",">= 0","Etiqueta historica de 2000."
"CAND. NO REGIS.","integer","Measure","Votos para candidaturas no registradas.","Votes for non-registered candidates.",">= 0","Se normaliza como CAND_NO_REGIS y se carga a num_votos_can_nreg."
"NULOS","integer","Measure","Votos nulos registrados en la casilla.","Null votes recorded in the polling station.",">= 0","Se carga a num_votos_nulos."
"TOTAL","integer","Measure","Total de votos reportado para la casilla.","Total votes reported for the polling station.",">= 0","Se carga a total_votos. No existe columna separada de votos validos."
"STATUS","string","Quality Flag","Estatus de casilla o acta reportado por el archivo .dat.","Polling-station or acta status reported by the .dat file.","Texto libre o vacio.","No siempre tiene contenido; se usa principalmente para auditoria de fuente."
"tipo","string","Special-source flag","Marcador MR/RP presente en algunos archivos de diputados y senadores.","MR/RP marker present in some deputies and senate files.","MR, RP, or blank depending on file.","Las filas MR/RP de casillas especiales se colapsan sumando votos para una sola casilla limpia."
