"Column Name","Data Type","Role","Description (SPA)","Description (ENG)","Values / Domain","Notes"
"CLAVE_CASILLA","string","Source Key","Clave de casilla reportada por el archivo 2021.","Polling-station key reported by the 2021 file.","Texto numerico/alfanumerico, a veces con comilla inicial.","No es suficientemente unica para la ingesta; se conserva para trazabilidad."
"CLAVE_ACTA","string","Natural Key","Clave unica de acta usada para identificar el renglon de resultados.","Unique acta key used to identify the result row.","Texto alfanumerico.","Se usa como casilla_id limpio y como acta_casilla_mec en el warehouse."
"ID_ESTADO","integer","Dimension","Identificador numerico de entidad federativa.","Numeric state identifier.","1-32.","Se carga a dim_geography y dim_casilla."
"NOMBRE_ESTADO","string","Dimension","Nombre de la entidad federativa.","State name.","Nombres de entidades en mayusculas.","Se conserva en dim_geography."
"ID_DISTRITO","integer","Dimension / Partial Key","Distrito electoral federal dentro de la entidad.","Federal electoral district within the state.","1-N; 0 para filas especiales cuando aplique.","Se carga como id_distrito_federal."
"NOMBRE_DISTRITO","string","Dimension","Nombre o cabecera distrital reportada por la fuente.","District name or head reported by the source.","Texto.","Se mapea a cabecera_distrital_federal en el warehouse."
"SECCION","integer","Dimension / Partial Key","Seccion electoral.","Electoral section.","1-N; puede venir con ceros a la izquierda en fuente.","Participa en geo_id."
"ID_CASILLA","integer","Partial Key","Numero secuencial de casilla dentro de tipo y seccion.","Sequential polling-station number within type and section.","1, 2, 3, ...","Con TIPO_CASILLA y EXT_CONTIGUA describe la casilla fisica."
"TIPO_CASILLA","string","Partial Key","Tipo de casilla instalada.","Type of polling station installed.","B, C, E, S, P, M, etc.","Debe interpretarse con contexto electoral; P aparece en filas especiales del archivo."
"EXT_CONTIGUA","integer","Partial Key","Extension contigua dentro de la casilla.","Contiguous extension within the polling-station identity.","0 = principal; 1-N = extensiones.","Se conserva en clean_2021."
"CASILLA","string","Dimension","Clasificacion textual de ubicacion o tipo de casilla.","Text classification of polling-station location or type.","Urbana, No urbana, blanco, etc.","Se conserva en clean_2021, pero no se mapea al warehouse actual."
"NUM_ACTA_IMPRESO","integer","Reference","Numero de acta impreso reportado por la fuente.","Printed acta number reported by the source.","Entero o vacio.","Se conserva en clean_2021."
"PAN","integer","Measure","Votos obtenidos por el PAN.","Votes for Partido Accion Nacional.",">= 0","Se convierte a party_key PAN."
"PRI","integer","Measure","Votos obtenidos por el PRI.","Votes for Partido Revolucionario Institucional.",">= 0","Se convierte a party_key PRI."
"PRD","integer","Measure","Votos obtenidos por el PRD.","Votes for Partido de la Revolucion Democratica.",">= 0","Se convierte a party_key PRD."
"PVEM","integer","Measure","Votos obtenidos por el PVEM.","Votes for Partido Verde Ecologista de Mexico.",">= 0","Se convierte a party_key PVEM."
"PT","integer","Measure","Votos obtenidos por el PT.","Votes for Partido del Trabajo.",">= 0","Se convierte a party_key PT."
"MC","integer","Measure","Votos obtenidos por Movimiento Ciudadano.","Votes for Movimiento Ciudadano.",">= 0","Se convierte a party_key MC."
"MORENA","integer","Measure","Votos obtenidos por MORENA.","Votes for MORENA.",">= 0","Se convierte a party_key MORENA."
"PES","integer","Measure","Votos obtenidos por PES.","Votes for PES.",">= 0","Partido/opcion 2021."
"RSP","integer","Measure","Votos obtenidos por Redes Sociales Progresistas.","Votes for Redes Sociales Progresistas.",">= 0","Partido/opcion 2021."
"FXM","integer","Measure","Votos obtenidos por Fuerza por Mexico.","Votes for Fuerza por Mexico.",">= 0","Partido/opcion 2021."
"CI","integer","Measure","Votos para candidatura independiente.","Votes for independent candidacy.",">= 0","Se conserva como party_key CI."
"PAN-PRI-PRD","integer","Measure","Votos para la coalicion PAN-PRI-PRD.","Votes for the PAN-PRI-PRD coalition.",">= 0","Se normaliza como PAN_PRI_PRD."
"PAN-PRI","integer","Measure","Votos para la combinacion PAN-PRI.","Votes for the PAN-PRI coalition ballot.",">= 0","Se normaliza como PAN_PRI."
"PAN-PRD","integer","Measure","Votos para la combinacion PAN-PRD.","Votes for the PAN-PRD coalition ballot.",">= 0","Se normaliza como PAN_PRD."
"PRI-PRD","integer","Measure","Votos para la combinacion PRI-PRD.","Votes for the PRI-PRD coalition ballot.",">= 0","Se normaliza como PRI_PRD."
"PVEM-PT-MORENA","integer","Measure","Votos para la coalicion PVEM-PT-MORENA.","Votes for the PVEM-PT-MORENA coalition.",">= 0","Se normaliza como PVEM_PT_MORENA."
"PVEM-PT","integer","Measure","Votos para la combinacion PVEM-PT.","Votes for the PVEM-PT coalition ballot.",">= 0","Se normaliza como PVEM_PT."
"PVEM-MORENA","integer","Measure","Votos para la combinacion PVEM-MORENA.","Votes for the PVEM-MORENA coalition ballot.",">= 0","Se normaliza como PVEM_MORENA."
"PT-MORENA","integer","Measure","Votos para la combinacion PT-MORENA.","Votes for the PT-MORENA coalition ballot.",">= 0","Se normaliza como PT_MORENA."
"CANDIDATO/A NO REGISTRADO/A","integer","Measure","Votos para candidaturas no registradas.","Votes for non-registered candidates.",">= 0","Se normaliza como CNR y se carga a num_votos_can_nreg."
"VOTOS NULOS","integer","Measure","Votos nulos.","Null votes.",">= 0","Se normaliza como VN y se carga a num_votos_nulos."
"TOTAL_VOTOS_CALCULADOS","integer","Measure","Total de votos calculado/reportado por el archivo 2021.","Calculated/reported total votes in the 2021 file.",">= 0","Se carga a total_votos."
"LISTA_NOMINAL_CASILLA","integer","Measure","Lista nominal de la casilla.","Nominal voter list for the polling station.",">= 0","Se carga a lista_nominal."
"OBSERVACIONES","string","Quality Flag","Estatus u observacion del acta.","Acta status or observation.","Cotejo, Recuento, otros textos de fuente.","Se conserva en clean_2021."
"MECANISMOS_TRASLADO","string","Reference / Quality","Mecanismos de traslado reportados por la fuente.","Transfer/transport mechanisms reported by the source.","Texto o guion.","Se conserva en clean_2021."
"FECHA_HORA","string","Reference","Fecha y hora de registro/publicacion del renglon.","Date and time recorded/published for the row.","dd/mm/yyyy hh:mm:ss como texto.","Se conserva como string en clean_2021."
