Column Name,Data Type,Role,Description (SPA),Description (ENG),Values / Domain,Notes
geo_id,TEXT,Primary key,"Identificador canonico de la combinacion geografica usada para enlazar casillas con entidad, seccion y distrito. Se construye antes de cargar al warehouse para absorber diferencias de formato entre ciclos.","Canonical identifier for the geography combination used to link polling stations to state, section, and district. It is built before warehouse load to absorb source-format differences across cycles.","Constructed text key from clean parquet geography fields.","The exact construction is cycle-specific in the cleaning scripts, but the warehouse treats it as an opaque stable key."
id_estado,INTEGER,Required natural key,"Clave numerica de la entidad federativa.","Numeric state identifier.","1-32.","Mapped from source fields such as ID_ESTADO, ID_ENT, ESTADO, or equivalent cleaned columns."
nombre_estado,TEXT,Required attribute,"Nombre de la entidad federativa tal como queda normalizado en el archivo limpio.","State name as normalized in the clean file.","Mexican federal entities.","Case and accent treatment can differ by source year before normalization; do not use this as the only join key."
seccion,INTEGER,Required natural key,"Seccion electoral asociada a la casilla o acta.","Electoral section associated with the polling station or acta.","Usually positive integer; special or foreign-vote rows can use 0 in some source cycles.","Important for precinct-level joins. In 2021 source values can appear zero-padded before cleaning."
id_municipio,INTEGER,Nullable natural key,"Clave numerica de municipio cuando el ciclo la provee.","Numeric municipality identifier when the cycle provides it.","Integer or NULL.","NULL for 1994, 2000, 2006, 2015, and 2021 additions because these ingestions do not provide a reliable numeric municipality key."
municipio,TEXT,Nullable attribute,"Nombre de municipio cuando existe en el archivo limpio del ciclo.","Municipality name when it exists in the cycle clean file.","Text or NULL.","Present for 1994 and 2006 additions; NULL for 2000, 2015, and 2021 additions."
id_distrito_federal,INTEGER,Nullable natural key,"Distrito electoral federal asociado a la casilla o acta.","Federal electoral district associated with the polling station or acta.","Positive integer or NULL.","Mapped from DISTRITO, distrito, ID_DISTRITO, or ID_DISTRITO_FEDERAL depending on cycle."
cabecera_distrital_federal,TEXT,Nullable attribute,"Cabecera o nombre distrital cuando el ciclo contiene un campo equivalente.","District head/seat or district name when the cycle contains an equivalent field.","Text or NULL.","1994 maps CABECERA; 2006 and 2021 map district name; 2000 and 2015 load NULL."
circunscripcion,INTEGER,Nullable attribute,"Circunscripcion electoral cuando el ciclo la provee.","Electoral circunscription when the cycle provides it.","Integer or NULL.","NULL for the 1994, 2000, 2006, 2015, and 2021 additions."
created_at,TIMESTAMP,System field,"Marca de tiempo de insercion generada por SQLite.","SQLite-generated insertion timestamp.","CURRENT_TIMESTAMP default.","Warehouse-only field."
