"Column Name","Data Type","Role","Description (SPA)","Description (ENG)","Values / Domain","Notes"
"ENTIDAD","string","Dimension","Nombre de la entidad federativa tal como aparece en el archivo original de 1994.","State name as it appears in the original 1994 file.","Nombres de entidades en mayusculas, e.g. AGUASCALIENTES.","Se conserva como fuente historica; el proceso tambien asigna ID_ESTADO por el numero del archivo estatal."
"CABECERA","string","Dimension","Cabecera distrital reportada por la fuente para el distrito federal electoral.","District head or seat reported by the source for the federal electoral district.","Texto; e.g. AGUASCALIENTES.","Se mapea a cabecera_distrital_federal en el warehouse."
"DISTRITO","integer","Dimension / Partial Key","Distrito electoral federal dentro de la entidad.","Federal electoral district within the state.","1-N por entidad.","No es unico nacionalmente; debe combinarse con ID_ESTADO."
"MUNICIPIO","string","Dimension","Municipio asociado a la casilla en el archivo de resultados.","Municipality associated with the polling station in the results file.","Texto; e.g. AGUASCALIENTES.","1994 no trae clave numerica de municipio, solo nombre."
"SECCION","integer","Dimension / Partial Key","Seccion electoral donde se instalo la casilla.","Electoral section where the polling station was installed.","1-N por entidad.","Junto con entidad y casilla forma la granularidad geografica de resultados."
"CASILLA","string","Dimension / Partial Key","Etiqueta original de casilla en la fuente.","Original polling-station label in the source.","B, C, E, S, o variantes textuales/abreviadas.","Se parsea a TIPO_CASILLA e ID_CASILLA; se conserva como CASILLA_RAW en clean_1994."
"PAN","integer","Measure","Votos obtenidos por el PAN en la casilla.","Votes for Partido Accion Nacional in the polling station.",">= 0","Se convierte a filas de fact_casilla_vote con party_key = PAN."
"PRI","integer","Measure","Votos obtenidos por el PRI en la casilla.","Votes for Partido Revolucionario Institucional in the polling station.",">= 0","Se convierte a filas de fact_casilla_vote con party_key = PRI."
"PPS","integer","Measure","Votos obtenidos por el PPS en la casilla.","Votes for Partido Popular Socialista in the polling station.",">= 0","Opcion partidista historica de 1994."
"PRD","integer","Measure","Votos obtenidos por el PRD en la casilla.","Votes for Partido de la Revolucion Democratica in the polling station.",">= 0","Se convierte a filas de fact_casilla_vote con party_key = PRD."
"PFCRN","integer","Measure","Votos obtenidos por el PFCRN en la casilla.","Votes for Partido del Frente Cardenista de Reconstruccion Nacional in the polling station.",">= 0","Opcion partidista historica de 1994."
"PARM","integer","Measure","Votos obtenidos por el PARM en la casilla.","Votes for Partido Autentico de la Revolucion Mexicana in the polling station.",">= 0","Opcion partidista historica de 1994."
"UNO_PDM","integer","Measure","Votos obtenidos por UNO/PDM en la casilla.","Votes for the UNO/PDM option in the polling station.",">= 0","El guion bajo normaliza la etiqueta para party_key."
"PT","integer","Measure","Votos obtenidos por el PT en la casilla.","Votes for Partido del Trabajo in the polling station.",">= 0","Se convierte a filas de fact_casilla_vote con party_key = PT."
"PVEM","integer","Measure","Votos obtenidos por el PVEM en la casilla.","Votes for Partido Verde Ecologista de Mexico in the polling station.",">= 0","Se convierte a filas de fact_casilla_vote con party_key = PVEM."
"NO_REG","integer","Measure","Votos emitidos por candidaturas no registradas.","Votes cast for non-registered candidates.",">= 0","Se normaliza como CNR y se carga a num_votos_can_nreg."
"NULOS","integer","Measure","Votos nulos registrados en la casilla.","Null votes recorded in the polling station.",">= 0","Se normaliza como VN y se carga a num_votos_nulos."
"TOTAL","integer","Measure","Total de votos contabilizados en la casilla.","Total votes counted in the polling station.",">= 0","Debe corresponder a la suma de partidos, NO_REG y NULOS; se carga a total_votos."
"STATUS CASILLA","string","Quality Flag","Estatus de la casilla reportado por la fuente.","Polling-station status reported by the source.","Texto libre o vacio.","Se conserva en clean_1994 como STATUS_CASILLA, pero no se mapea al warehouse salvo futuras extensiones."
