"Column Name","Data Type","Role","Description (SPA)","Description (ENG)","Values / Domain","Notes"
"ID_ENT","integer","Dimension","Identificador numerico de la entidad federativa.","Numeric state identifier.","1-32.","Se normaliza como ID_ESTADO."
"NOMBRE_EDO_M","string","Dimension","Nombre de la entidad federativa en la fuente 2006.","State name in the 2006 source.","Texto; e.g. Aguascalientes.","Se conserva para auditoria, mientras NOMBRE_ESTADO se normaliza desde catalogo interno."
"DISTRITO_TXT","integer","Dimension / Partial Key","Distrito electoral federal reportado por el archivo estatal.","Federal electoral district reported by the state file.","1-N por entidad; 0/valores especiales posibles en voto extranjero.","Se normaliza como ID_DISTRITO."
"CAB_MIN","string","Dimension","Cabecera distrital o nombre asociado al distrito.","District head or district-associated name.","Texto.","Se normaliza como NOMBRE_DISTRITO y luego a cabecera_distrital_federal en el warehouse."
"NOM_MIN","string","Dimension","Municipio asociado al renglon de casilla.","Municipality associated with the polling-station row.","Texto o vacio.","Se normaliza como MUNICIPIO."
"TIPO_ELECCION","string","Dimension / Source Context","Tipo de eleccion segun la fuente 2006.","Election type according to the 2006 source.","Presidente, Presidente Voto en el extranjero, Diputados, Senadores, etc.","Ayuda a identificar renglones especiales como voto en el extranjero."
"SECCION","integer","Dimension / Partial Key","Seccion electoral.","Electoral section.","1-N; 0 para voto en el extranjero en presidencia.","Participa en geo_id y casilla_id."
"CASILLA","string","Dimension / Partial Key","Etiqueta original de casilla.","Original polling-station label.","B, C, E, S, Voto Extranjero, etc.","Se parsea a TIPO_CASILLA, ID_CASILLA y EXT_CONTIGUA; se conserva como CASILLA_RAW."
"PAN","integer","Measure","Votos obtenidos por el PAN.","Votes for Partido Accion Nacional.",">= 0","Se convierte a party_key PAN."
"APM","integer","Measure","Votos para la coalicion Alianza por Mexico.","Votes for the Alianza por Mexico coalition.",">= 0","Coalicion PRI-PVEM segun PARTY_META_2006."
"PBT","integer","Measure","Votos para la coalicion Por el Bien de Todos.","Votes for the Por el Bien de Todos coalition.",">= 0","Coalicion PRD-PT-Convergencia segun PARTY_META_2006."
"NVA_A","integer","Measure","Votos obtenidos por Nueva Alianza.","Votes for Nueva Alianza.",">= 0","Etiqueta normalizada con guion bajo para party_key."
"ASDC","integer","Measure","Votos obtenidos por Alternativa Socialdemocrata y Campesina.","Votes for Alternativa Socialdemocrata y Campesina.",">= 0","Partido historico de 2006."
"NO_VOTOS_CAN_NREG","integer","Measure","Votos para candidaturas no registradas.","Votes for non-registered candidates.",">= 0","Se normaliza como CNR y se carga a num_votos_can_nreg."
"VALIDOS","integer","Measure","Total de votos validos reportados por la fuente.","Total valid votes reported by the source.",">= 0","Se carga a num_votos_validos; 2006 es uno de los ciclos que trae este agregado."
"NO_VOTOS_NULOS","integer","Measure","Votos nulos reportados por la fuente.","Null votes reported by the source.",">= 0","Se normaliza como VN y se carga a num_votos_nulos."
"TOTAL","integer","Measure","Total de votos de la casilla o acta.","Total votes for the polling station or acta.",">= 0","Se normaliza como TOTAL_VOTOS y se carga a total_votos."
"LISTA_NOMINAL","integer","Measure","Numero de ciudadanos en lista nominal para la casilla.","Number of registered voters on the nominal list for the polling station.",">= 0","Se normaliza como LISTA_NOMINAL_CASILLA y se carga a lista_nominal."
"ESTATUS","string","Quality Flag","Estatus del acta reportado por la fuente.","Acta status reported by the source.","Texto libre o vacio.","Se normaliza como ESTATUS_ACTA."
