"Column Name","Data Type","Role","Description (SPA)","Description (ENG)","Values / Domain","Notes"
"CIRCUNSCRIPCION","integer","Dimension","Circunscripcion plurinominal federal reportada por la fuente.","Federal multi-member electoral region reported by the source.","1-5.","Se carga como circunscripcion; aplica a la geografia de la eleccion 2009."
"ID_ESTADO","integer","Dimension / Partial Key","Identificador numerico de la entidad federativa.","Numeric state identifier.","1-32.","Se carga a dim_geography y dim_casilla."
"NOMBRE_ESTADO","string","Dimension","Nombre de la entidad federativa.","State name.","Nombres de entidades en mayusculas.","Se conserva y se normaliza con el catalogo canonico de estados."
"ID_DISTRITO","integer","Dimension / Partial Key","Distrito electoral federal dentro de la entidad.","Federal electoral district within the state.","1-N por entidad; 300 distritos nacionales en 2009.","Se carga como id_distrito_federal."
"CABECERA_DISTRITAL","string","Dimension","Cabecera distrital federal reportada por la fuente.","Federal district seat reported by the source.","Texto.","Se carga como cabecera_distrital_federal."
"ID_MUNICIPIO","integer","Dimension / Partial Key","Identificador de municipio reportado por la fuente.","Municipality identifier reported by the source.","Entero; 0 puede aparecer en filas especiales.","No debe suponerse equivalente al CVE_MUN de INEGI; se resuelve por el crosswalk del warehouse."
"MUNICIPIO","string","Dimension","Nombre del municipio reportado por la fuente.","Municipality name reported by the source.","Texto en mayusculas o vacio para filas especiales.","Se carga para la geografia y el posterior mapeo municipal."
"SECCION","integer","Dimension / Partial Key","Seccion electoral.","Electoral section.","1-N por entidad.","Con ID_ESTADO forma geo_id; con CASILLA forma la identidad de casilla de 2009."
"CASILLA","string","Source Key / Partial Key","Codigo compacto de casilla de la fuente.","Compact polling-station code from the source.","B, C01-C30, E01, E01C01, SRP01-SRP05 y otras variantes.","El archivo RP usa el mismo esquema y agrega 778 filas SRP de votacion proporcional exclusiva. No se debe interpretar como el esquema posterior ID_CASILLA + EXT_CONTIGUA sin un parser especifico. Se conserva como acta/casilla de origen y participa en el casilla_id limpio."
"PAN","integer","Measure","Votos obtenidos por el PAN.","Votes for Partido Accion Nacional.",">= 0.","Se convierte a party_key PAN."
"PRI","integer","Measure","Votos obtenidos por el PRI.","Votes for Partido Revolucionario Institucional.",">= 0.","Se convierte a party_key PRI."
"PRD","integer","Measure","Votos obtenidos por el PRD.","Votes for Partido de la Revolucion Democratica.",">= 0.","Se convierte a party_key PRD."
"PVEM","integer","Measure","Votos obtenidos por el PVEM.","Votes for Partido Verde Ecologista de Mexico.",">= 0.","Se convierte a party_key PVEM."
"PT","integer","Measure","Votos obtenidos por el PT.","Votes for Partido del Trabajo.",">= 0.","Se convierte a party_key PT."
"CONV","integer","Measure","Votos obtenidos por Convergencia.","Votes for Convergencia.",">= 0.","Se normaliza como party_key MC, la clave historica comun del proyecto para Movimiento Ciudadano/Convergencia."
"NVA_ALIANZA","integer","Measure","Votos obtenidos por Nueva Alianza.","Votes for Nueva Alianza.",">= 0.","Se normaliza como party_key PANAL."
"PSD","integer","Measure","Votos obtenidos por Partido Socialdemocrata.","Votes for Partido Socialdemocrata.",">= 0.","Opcion historica exclusiva de 2009."
"PRIMERO_MEXICO","integer","Measure","Votos para la coalicion Primero Mexico.","Votes for the Primero Mexico coalition.",">= 0 o vacio.","Boleta de coalicion; se conserva como opcion electoral separada y se documentara su membresia en dim_party."
"SALVEMOS_MEXICO","integer","Measure","Votos para la coalicion Salvemos a Mexico.","Votes for the Salvemos a Mexico coalition.",">= 0 o vacio.","Boleta de coalicion; se conserva como opcion electoral separada y se documentara su membresia en dim_party."
"NUM_VOTOS_CAN_NREG","integer","Measure","Votos para candidaturas no registradas.","Votes for non-registered candidates.",">= 0.","Se normaliza como CNR y se carga a num_votos_can_nreg."
"NUM_VOTOS_NULOS","integer","Measure","Votos nulos.","Null votes.",">= 0.","Se normaliza como VN y se carga a num_votos_nulos."
"TOTAL_VOTOS","integer","Measure","Total de votos reportado por la fuente.","Total votes reported by the source.",">= 0.","Se carga a total_votos. En la revision inicial coincide por renglon con la suma de opciones partidistas, no registrados y nulos."
"LISTA_NOMINAL","integer","Measure","Lista nominal de la casilla.","Nominal voter list for the polling station.",">= 0.","Se carga a lista_nominal."
"ESTATUS_ACTA","string","Quality Flag","Estatus o procedencia del acta contabilizada.","Status or provenance of the counted acta.","ACTA CASILLA, ACTA GRUPO RECUENTO, ACTA PLENO CONSEJO, CASILLA SIN ACTA y otros.","Se conserva como estatus_acta; describe la fuente del resultado, no una condicion binaria de validez."
"TEPJF","string","Legal Review Flag","Resultado o marca de revision jurisdiccional.","Judicial-review outcome or flag.","Vacio, Anulada, MODIFICADA MR y otras etiquetas de fuente.","Se conserva para trazabilidad y auditoria; no se usa para recalcular votos."
"RUTA_ACTA","string","Reference","Nombre o ruta relativa del archivo de imagen/PDF del acta.","Filename or relative path of the acta image/PDF.","Texto como JE2009_1_1_0338_B102_1.pdf; puede ser vacio.","Se carga como ruta_acta. El archivo de resultados no incluye necesariamente el documento referido."
