"Column Name","Data Type","Role","Description (SPA)","Description (ENG)","Values / Domain","Notes"
"ESTADO","integer","Dimension","Identificador numerico de la entidad federativa.","Numeric state identifier.","1-32.","Se normaliza como ID_ESTADO."
"DISTRITO","integer","Dimension / Partial Key","Distrito electoral federal dentro de la entidad.","Federal electoral district within the state.","1-N por entidad.","Se normaliza como ID_DISTRITO."
"SECCION","integer","Dimension / Partial Key","Seccion electoral.","Electoral section.","1-N por entidad.","Participa en geo_id y casilla_id."
"ID_CASILLA","integer","Partial Key","Numero secuencial de casilla dentro de tipo y seccion.","Sequential polling-station number within type and section.","1, 2, 3, ...","No distingue por si solo las extensiones contiguas ni el tipo de acta."
"TIPO_CASILLA","string","Partial Key","Tipo de casilla instalada.","Type of polling station installed.","B, C, E, S, etc.","Forma parte del casilla_id limpio."
"EXT_CONTIGUA","integer","Partial Key","Extension contigua dentro de una misma casilla.","Contiguous extension within the same polling-station identity.","0 = principal; 1-N = extensiones.","Forma parte del casilla_id limpio."
"UBICACION_CASILLA","integer","Dimension","Codigo de ubicacion de casilla reportado por la fuente.","Polling-station location code reported by the source.","Codigo entero de fuente.","Se conserva en clean_2015, pero no se mapea al warehouse actual."
"TIPO_ACTA","integer","Partial Key / Quality Context","Tipo de acta reportado por la fuente.","Acta type reported by the source.","Codigo entero de fuente.","Importante para distinguir variantes MR/RP o actas especiales; se incluye en casilla_id limpio."
"NUM_BOLETAS_SOBRANTES","integer","Measure / Audit","Numero de boletas sobrantes reportadas.","Number of unused ballots reported.",">= 0 o vacio.","Campo de conciliacion; no se carga al warehouse actual."
"TOTAL_CIUDADANOS_VOTARON","integer","Measure / Audit","Total de ciudadanos que votaron segun acta.","Total citizens who voted according to the acta.",">= 0 o vacio.","Campo de conciliacion; no se carga al warehouse actual."
"NUM_BOLETAS_EXTRAIDAS","integer","Measure / Audit","Numero de boletas extraidas de la urna.","Number of ballots extracted from the ballot box.",">= 0 o vacio.","Campo de conciliacion; no se carga al warehouse actual."
"PAN","integer","Measure","Votos obtenidos por el PAN.","Votes for Partido Accion Nacional.",">= 0","Se convierte a party_key PAN."
"PRI","integer","Measure","Votos obtenidos por el PRI.","Votes for Partido Revolucionario Institucional.",">= 0","Se convierte a party_key PRI."
"PRD","integer","Measure","Votos obtenidos por el PRD.","Votes for Partido de la Revolucion Democratica.",">= 0","Se convierte a party_key PRD."
"PVEM","integer","Measure","Votos obtenidos por el PVEM.","Votes for Partido Verde Ecologista de Mexico.",">= 0","Se convierte a party_key PVEM."
"PT","integer","Measure","Votos obtenidos por el PT.","Votes for Partido del Trabajo.",">= 0","Se convierte a party_key PT."
"MOVIMIENTO_CIUDADANO","integer","Measure","Votos obtenidos por Movimiento Ciudadano.","Votes for Movimiento Ciudadano.",">= 0","Se normaliza como party_key MC."
"NUEVA_ALIANZA","integer","Measure","Votos obtenidos por Nueva Alianza.","Votes for Nueva Alianza.",">= 0","Se normaliza como party_key PANAL."
"MORENA","integer","Measure","Votos obtenidos por MORENA.","Votes for MORENA.",">= 0","Se convierte a party_key MORENA."
"PH","integer","Measure","Votos obtenidos por Partido Humanista.","Votes for Partido Humanista.",">= 0","Partido historico de 2015."
"PS","integer","Measure","Votos obtenidos por Encuentro Social segun etiqueta de fuente.","Votes for Encuentro Social as labeled in the source.",">= 0","Se normaliza como party_key PES."
"C_PRI_PVEM","integer","Measure","Votos para la coalicion PRI-PVEM.","Votes for the PRI-PVEM coalition.",">= 0","Se marca como coalicion en dim_party."
"C_PRD_PT","integer","Measure","Votos para la coalicion PRD-PT.","Votes for the PRD-PT coalition.",">= 0","Se marca como coalicion en dim_party."
"CAND_IND_1","integer","Measure","Votos para candidatura independiente 1.","Votes for independent candidacy 1.",">= 0","Se conserva como opcion electoral separada."
"CAND_IND_2","integer","Measure","Votos para candidatura independiente 2.","Votes for independent candidacy 2.",">= 0","Se conserva como opcion electoral separada."
"NO_REGISTRADOS","integer","Measure","Votos para candidaturas no registradas.","Votes for non-registered candidates.",">= 0","Se normaliza como CNR y se carga a num_votos_can_nreg."
"NULOS","integer","Measure","Votos nulos.","Null votes.",">= 0","Se normaliza como VN y se carga a num_votos_nulos."
"TOTAL_VOTOS","integer","Measure","Total de votos reportado por la fuente.","Total votes reported by the source.",">= 0","Se carga a total_votos."
"LISTA_NOMINAL","integer","Measure","Lista nominal de la casilla.","Nominal voter list for the polling station.",">= 0","Se normaliza como LISTA_NOMINAL_CASILLA y se carga a lista_nominal."
"OBSERVACIONES","string","Reference / Quality","Observaciones reportadas por la fuente.","Observations reported by the source.","Texto libre o vacio.","Se conserva en clean_2015."
"CONTABILIZADA","integer","Quality Flag","Indicador de si el acta fue contabilizada.","Indicator that the acta was counted.","1 = contabilizada; otros valores segun fuente.","El script filtra CONTABILIZADA = 1 antes de construir las tablas limpias."
