"Column Name","Data Type","Role","Description (SPA)","Description (ENG)","Values / Domain","Notes"
"CIRCUNSCRIPCION","integer","Dimension","Circunscripcion plurinominal a la que pertenece el distrito.","Plurinominal constituency grouping federal districts for proportional-representation seats.","1, 2, 3, 4, 5.","Mexico is divided into 5 circunscripciones for Chamber of Deputies PR seats."
"ID_ESTADO","integer","Dimension","Identificador numerico del estado.","Numeric state ID.","1-32.","Matches INEGI state catalog."
"NOMBRE_ESTADO","string","Dimension","Nombre completo del estado.","Full state name.","e.g. AGUASCALIENTES, CIUDAD DE MEXICO.","Used for display; ID_ESTADO is safer for joins."
"ID_DISTRITO_FEDERAL","integer","Dimension","Identificador del distrito electoral federal dentro del estado.","Federal electoral district ID within the state.","0 = voto en el extranjero; 1-N per state.","Not unique nationwide; combine with ID_ESTADO."
"CABECERA_DISTRITAL_FEDERAL","string","Dimension","Ciudad o localidad cabecera del distrito federal.","Main city or head municipality of the federal district.","e.g. JESUS MARIA, VOTO EN EL EXTRANJERO.","Maps to dim_geography.cabecera_distrital_federal."
"ID_MUNICIPIO","integer","Dimension","Identificador del municipio dentro del estado.","Municipality ID within the state.","0 = voto en el extranjero; 1-N within state.","Not unique nationwide; combine with ID_ESTADO."
"MUNICIPIO","string","Dimension","Nombre del municipio.","Municipality name.","e.g. ASIENTOS, VOTO EN EL EXTRANJERO.","Maps to dim_geography.municipio."
"SECCION","integer","Dimension / Partial Key","Seccion electoral donde esta ubicada la casilla.","Electoral section where the polling station is located.","1-N per state; 0 = abroad.","Unique only within a state."
"TIPO_CASILLA","string","Dimension / Partial Key","Tipo de casilla electoral instalada.","Type of polling station installed.","B, C, E, S, MEC.","MEC is used for counting tables such as electronic or overseas vote rows."
"ID_CASILLA","integer","Partial Key","Numero secuencial de la casilla principal dentro de su tipo y seccion.","Sequential number of the main polling station within its type and section.","1, 2, 3, ...","Does not distinguish contiguous extensions; use EXT_CONTIGUA too."
"EXT_CONTIGUA","integer","Partial Key","Numero secuencial de la extension contigua dentro de una misma casilla.","Sequential counter of contiguous extensions within the same polling-station identity.","0 = main; 1-N = contiguous extensions.","Composite identity uses ID_ESTADO + SECCION + TIPO_CASILLA + ID_CASILLA + EXT_CONTIGUA."
"ACTA_CASILLA-MEC","string","Natural Key","Clave alfanumerica que codifica tipo, numero de casilla y extension.","Alphanumeric key encoding type, polling-station number, and extension.","B, C01, E01, E01C01, VMRE01.","Most robust natural key for the source row together with state/context."
"URNA_ELECTRONICA","integer","Flag","Indica si se uso urna electronica en esta casilla.","Flag indicating whether an electronic ballot box was used.","0 = no; 1 = yes.","Only present in specific pilot/special contexts."
"PAN","integer","Measure","Votos obtenidos por el PAN.","Votes for Partido Accion Nacional.",">= 0","Converted to party_key PAN."
"PRI","integer","Measure","Votos obtenidos por el PRI.","Votes for Partido Revolucionario Institucional.",">= 0","Converted to party_key PRI."
"PRD","integer","Measure","Votos obtenidos por el PRD.","Votes for Partido de la Revolucion Democratica.",">= 0","Converted to party_key PRD."
"PVEM","integer","Measure","Votos obtenidos por el PVEM.","Votes for Partido Verde Ecologista de Mexico.",">= 0","Converted to party_key PVEM."
"PT","integer","Measure","Votos obtenidos por el PT.","Votes for Partido del Trabajo.",">= 0","Converted to party_key PT."
"MC","integer","Measure","Votos obtenidos por Movimiento Ciudadano.","Votes for Movimiento Ciudadano.",">= 0","Converted to party_key MC."
"MORENA","integer","Measure","Votos obtenidos por MORENA.","Votes for MORENA.",">= 0","Converted to party_key MORENA."
"PAN_PRI_PRD","integer","Measure","Votos para la coalicion PAN-PRI-PRD.","Votes for the PAN-PRI-PRD coalition ballot.",">= 0","Voters chose the coalition emblem rather than an individual party emblem."
"PAN_PRI","integer","Measure","Votos para la coalicion parcial PAN-PRI.","Votes for the PAN-PRI sub-coalition ballot.",">= 0","Coalition combination vote option."
"PAN_PRD","integer","Measure","Votos para la coalicion parcial PAN-PRD.","Votes for the PAN-PRD sub-coalition ballot.",">= 0","Coalition combination vote option."
"PRI_PRD","integer","Measure","Votos para la coalicion parcial PRI-PRD.","Votes for the PRI-PRD sub-coalition ballot.",">= 0","Coalition combination vote option."
"PVEM_PT_MORENA","integer","Measure","Votos para la coalicion PVEM-PT-MORENA.","Votes for the PVEM-PT-MORENA coalition ballot.",">= 0","Coalition combination vote option."
"PVEM_PT","integer","Measure","Votos para la coalicion parcial PVEM-PT.","Votes for the PVEM-PT sub-coalition ballot.",">= 0","Coalition combination vote option."
"PVEM_MORENA","integer","Measure","Votos para la coalicion parcial PVEM-MORENA.","Votes for the PVEM-MORENA sub-coalition ballot.",">= 0","Coalition combination vote option."
"PT_MORENA","integer","Measure","Votos para la coalicion parcial PT-MORENA.","Votes for the PT-MORENA sub-coalition ballot.",">= 0","Coalition combination vote option."
"NUM_VOTOS_VALIDOS","integer","Measure","Suma de votos validos emitidos.","Sum of all valid votes cast."," >= 0.","Party and coalition votes; excludes null votes and non-registered candidate votes."
"NUM_VOTOS_CAN_NREG","integer","Measure","Votos a candidaturas no registradas.","Votes cast for write-in or non-registered candidates.",">= 0","Legally recognized category but not assigned to a registered party."
"NUM_VOTOS_NULOS","integer","Measure","Votos nulos.","Null votes.",">= 0","Blank, over-marked, or otherwise invalid ballots."
"TOTAL_VOTOS","integer","Measure","Total de votos contabilizados en el acta.","Total votes recorded in the ballot count record.",">= 0","Should equal valid votes + non-registered votes + null votes."
"LISTA_NOMINAL","integer","Measure","Numero de ciudadanos habilitados para votar en esta casilla.","Number of registered voters eligible to vote at this polling station.",">= 0","Special casillas and overseas rows need careful turnout treatment."
"ESTATUS_ACTA","string","Quality Flag","Estado de procesamiento del acta.","Processing status of the ballot count record.","Cotejo, Recuento, other source statuses.","Distinguishes counted/verified records from quality exceptions."
"TRIBUNAL","logical","Quality Flag","Indica intervencion del Tribunal Electoral.","Flag indicating Electoral Tribunal review or modification.","TRUE, FALSE, NA.","Relevant mainly after legal review/post-election processes."
"RUTA_ACTA","string","Reference","Nombre o ruta del archivo PDF del acta digitalizada.","Filename or path of the scanned ballot count record.",".pdf filename or blank.","Can be used to retrieve the original scanned acta."
"OBSERVACIONES","string","Reference / Quality","Observaciones del acta o referencia adicional.","Acta observations or additional reference.","Free text.","May mirror RUTA_ACTA or contain processing notes depending on file."
