Column Name,Data Type,Role,Description (SPA),Description (ENG),Values / Domain,Notes
candidato_id,TEXT,Primary key,"Identificador sintetico de candidatura, construido en la limpieza a partir de election_id, las columnas de alcance de la carrera judicial y NO_CANDIDATO.","Synthetic candidate identifier, built during cleaning from election_id, the race's scope columns, and NO_CANDIDATO.",Text key such as MIN_2025|CAND34 or TCCA_2025|1|2|CAND05.,"Not the raw source key: NO_CANDIDATO alone (e.g. CAND01) is reused across every judicial district sharing a race's file, so it cannot identify a candidate on its own."
election_id,TEXT,Foreign key,Concurso judicial al que pertenece la candidatura.,Judicial race to which the candidacy belongs.,"MIN_2025, TDJ_2025, TEPJF_SS_2025, TEPJF_SR_2025, TCCA_2025, JD_2025.",References dim_election.election_id.
circuito_judicial,INTEGER,Nullable scope component,"Circuito judicial federal de la carrera, cuando la eleccion esta organizada por circuito.","Federal judicial circuit for the race, when the election is organized by circuit.",Integer or NULL.,Populated for TCCA and JD only; part of the candidato_id scope for those two races.
distrito_judicial_electoral,INTEGER,Nullable scope component,"Distrito judicial electoral de la carrera, cuando la eleccion esta organizada por distrito.","Judicial electoral district for the race, when the election is organized by district.",Integer or NULL.,Populated for TCCA and JD only; part of the candidato_id scope for those two races.
circunscripcion,INTEGER,Nullable scope component,"Circunscripcion electoral (1-5) de la carrera, cuando la eleccion esta organizada por region.","Electoral circunscription (1-5) for the race, when the election is organized by region.","1-5, or NULL.",Populated for TEPJF_SR only; part of the candidato_id scope for that race. Reuses the same 1-5 numbering as dim_geography.circunscripcion (diputados RP circunscripciones).
id_entidad,INTEGER,Nullable informational attribute,Entidad federativa registrada para la candidatura en el catalogo fuente.,State registered for the candidacy in the source catalog.,"1-32, or 0 for the three national-at-large races.","Informational only for TCCA/JD -- NOT part of the candidato_id scope, because a judicial district's registered entidad here can differ from the entidad of casillas that actually vote in it (districts can straddle a state line)."
id_candidato,INTEGER,Attribute,"Numero de candidato tal como aparece en el catalogo fuente, unico solo dentro del alcance de la carrera.","Candidate number as it appears in the source catalog, unique only within the race's own scope.",Positive integer.,Not globally unique; use candidato_id for joins.
no_candidato,TEXT,Attribute,"Etiqueta de columna del acta (CAND01, CAND02, ...) que identifica a la candidatura dentro de su alcance.","Ballot-column label (CAND01, CAND02, ...) identifying the candidacy within its scope.","CAND01 through CAND84, depending on the race.",Matches a wide-format column name in the source votes CSV before melting; reused across every judicial district for TCCA/JD.
nombre_candidato,TEXT,Attribute,"Nombre de la candidata o candidato, Apellido Paterno Apellido Materno Nombre.","Candidate's name, Paternal-surname Maternal-surname Given-name.",Text.,As published by INE; not re-cased or re-ordered.
genero,TEXT,Attribute,Genero de la candidatura segun el catalogo fuente.,Candidate gender per the source catalog.,"M, H.","Source values kept as published (M = mujer, H = hombre)."
materia,TEXT,Nullable attribute,"Materia o especialidad de la candidatura (por ejemplo Civil, Penal, Laboral, Mixto).","Subject-matter specialty of the candidacy (e.g. Civil, Penal, Laboral, Mixto).",Text or NULL.,Only present for TCCA and JD candidacies; NULL for the other four races.
poder_postulante,TEXT,Attribute,Poder(es) de la Union que postulo a la candidatura.,Branch(es) of government that nominated the candidacy.,"PE, PJ, PL, EF, or a hyphenated combination such as PE-PL-PJ.","PE=Ejecutivo, PJ=Judicial, PL=Legislativo, EF=Comite de Evaluacion; a candidacy can be jointly postulated by more than one."
estatus_cancelado,TEXT,Attribute,Indica si la candidatura fue cancelada por incompatibilidad o renuncia.,Indicates whether the candidacy was cancelled for incompatibility or withdrawal.,"Si, No.",A cancelled candidacy can still appear in the votes file if ballots had already been printed.
created_at,TIMESTAMP,System field,Marca de tiempo de insercion generada por SQLite.,SQLite-generated insertion timestamp.,CURRENT_TIMESTAMP default.,Warehouse-only field; not present in clean parquet inputs.
