Column Name,Data Type,Role,Description (SPA),Description (ENG),Values / Domain,Notes
candidato_id,INTEGER,Primary key,"Identificador surrogate generado por SQLite para cada registro de candidatura cargado.","SQLite-generated surrogate identifier for each loaded candidate record.","Autoincrement integer.","Not present in source catalogs; created in the warehouse."
election_type,TEXT,Unique-key component,"Tipo de eleccion asociado al catalogo de candidaturas.","Election type associated with the candidate catalog.","DIP for 2015/2021; PRE/DIP/SEN for 2024.","This table is loaded from candidate catalogs when available. Populated for 2015, 2021, and 2024 only; not populated for 1994/2000/2006/2012/2018 additions."
party_key,TEXT,Unique-key component; foreign key,"Clave normalizada del partido, coalicion u opcion electoral de la candidatura.","Normalized party, coalition, or vote-option key for the candidate.","Values from dim_party.party_key when matching party keys exist.","Links candidate catalog rows to vote-option keys."
id_estado,INTEGER,Unique-key component,"Entidad federativa de la candidatura.","State for the candidacy.","1-32 or NULL.","Candidate catalogs are state/district scoped for diputaciones."
nombre_estado,TEXT,Attribute,"Nombre de entidad federativa en el catalogo de candidaturas.","State name in the candidate catalog.","Text or NULL.","Useful for audit and readability; id_estado is safer for joins."
id_distrito_federal,INTEGER,Unique-key component,"Distrito electoral federal de la candidatura.","Federal electoral district for the candidacy.","Positive integer or NULL.","Part of the natural grain for diputaciones candidate catalogs."
candidate_name,TEXT,Unique-key component; attribute,"Nombre de la candidatura propietaria o principal.","Main/proprietary candidate name.","Text or NULL.","Included in the uniqueness constraint because multiple rows can share party/state/district context in source catalogs."
candidate_suplente,TEXT,Attribute,"Nombre de la candidatura suplente cuando el catalogo la reporta.","Substitute candidate name when reported by the catalog.","Text or NULL.","Available in 2015/2021 candidate catalogs when provided."
partido_politico,TEXT,Source attribute,"Etiqueta original de partido politico o candidatura en el catalogo.","Original political party or candidacy label in the catalog.","Text or NULL.","Preserved to audit party_key normalization."
votacion_ganador,INTEGER,Nullable source measure,"Votacion ganadora reportada en el catalogo de candidaturas, cuando existe.","Winning vote total reported in the candidate catalog, when present.","Integer or NULL.","Warehouse schema casts to INTEGER; malformed/missing source values load as NULL."
pct_ganador,REAL,Nullable source measure,"Porcentaje ganador reportado en el catalogo de candidaturas, cuando existe.","Winning percentage reported in the candidate catalog, when present.","Real number or NULL.","Warehouse schema casts to REAL; formatting differences in source catalogs can produce NULL."
created_at,TIMESTAMP,System field,"Marca de tiempo de insercion generada por SQLite.","SQLite-generated insertion timestamp.","CURRENT_TIMESTAMP default.","Warehouse-only field."
