Column Name,Data Type,Role,Description (SPA),Description (ENG),Values / Domain,Notes
casilla_id,TEXT,Composite primary key component,"Identificador de casilla o acta dentro de un concurso electoral. No debe asumirse globalmente unico sin election_id.","Polling-station or acta identifier within one election contest. It should not be assumed globally unique without election_id.","Constructed/source-derived text key.","Composite primary key with election_id. For 2021 it is acta-level because CLAVE_ACTA is needed to avoid CLAVE_CASILLA duplicates."
election_id,TEXT,Composite primary key component; foreign key,"Identificador del concurso electoral al que pertenece la casilla o acta.","Election-contest identifier to which the polling station or acta belongs.","Values from dim_election.election_id.","Also part of the foreign-key path to fact_casilla_vote."
geo_id,TEXT,Foreign key,"Identificador geografico normalizado que ubica la casilla en entidad, seccion y distrito.","Normalized geography identifier locating the polling station in state, section, and district.","Values from dim_geography.geo_id.","Required join to dim_geography."
id_estado,INTEGER,Required attribute,"Clave numerica de entidad duplicada desde geografia para filtros rapidos y auditoria de carga.","Numeric state key duplicated from geography for fast filters and load audit.","1-32.","Redundant by design; do not treat differences from dim_geography as valid."
seccion,INTEGER,Required attribute,"Seccion electoral duplicada desde geografia para filtros rapidos y auditoria de carga.","Electoral section duplicated from geography for fast filters and load audit.","Integer; can be 0 for special foreign-vote rows in some cycles.","Redundant by design; use geo_id for normalized geography joins."
acta_casilla_mec,TEXT,Nullable source/canonical key,"Mejor identificador disponible de acta o casilla mecanizado para el ciclo. Sirve como puente de trazabilidad hacia la fuente limpia.","Best available machine-readable acta or casilla identifier for the cycle. It provides traceability back to the clean source.","Text or NULL.","1994/2000/2006/2015 map the synthesized casilla_id; 2021 maps CLAVE_ACTA. Later cycles can map ACTA_CASILLA-MEC."
tipo_casilla,TEXT,Nullable attribute,"Tipo de casilla normalizado desde la fuente, por ejemplo basica, contigua, especial, extraordinaria o voto extranjero segun ciclo.","Polling-station type normalized from the source, for example basic, contiguous, special, extraordinary, or foreign vote depending on cycle.","Source-derived code/text such as B, C, E, S, P, Voto Extranjero.","Codes are not fully harmonized semantically across all historical files; use with cycle context."
id_casilla,INTEGER,Nullable attribute,"Numero consecutivo de casilla dentro del tipo, cuando puede parsearse de la fuente.","Sequential polling-station number within type, when parseable from the source.","Integer or NULL.","For basic casillas this is often 1; for contiguous casillas it identifies the contigua number."
ext_contigua,INTEGER,Nullable attribute,"Extension de casilla contigua o componente adicional de identificacion cuando existe.","Extra contiguous extension or additional identity component when present.","Integer or NULL.","Often 0 in 2006/2015/2021; NULL where older sources do not expose the field."
lista_nominal,INTEGER,Nullable measure attribute,"Lista nominal asociada a la casilla o acta cuando la fuente la reporta.","Nominal voter list associated with the polling station or acta when reported by the source.","Non-negative integer or NULL.","NULL for 1994 and 2000 additions; mapped from LISTA_NOMINAL_CASILLA or LISTA_NOMINAL in later files."
urna_electronica,INTEGER,Nullable attribute,"Indicador o codigo de urna electronica cuando el ciclo lo incluye.","Electronic ballot-box indicator/code when the cycle includes it.","Integer or NULL.","NULL for 1994, 2000, 2006, 2015, and 2021 additions."
estatus_acta,TEXT,Nullable source status,"Estatus operativo del acta o casilla reportado por la fuente cuando existe y se conserva en el clean parquet.","Operational acta or casilla status reported by the source when available and retained in clean parquet.","Text or NULL.","2006 maps ESTATUS_ACTA. Other current additions usually load NULL even if an older raw status field existed but was not mapped to the warehouse."
ruta_acta,TEXT,Nullable source reference,"Ruta o referencia al archivo/imagen de acta cuando el ciclo la provee.","Path or reference to the acta file/image when the cycle provides it.","Text or NULL.","NULL for the 1994, 2000, 2006, 2015, and 2021 additions."
created_at,TIMESTAMP,System field,"Marca de tiempo de insercion generada por SQLite.","SQLite-generated insertion timestamp.","CURRENT_TIMESTAMP default.","Warehouse-only field."
