Column Name,Data Type,Role,Description (SPA),Description (ENG),Values / Domain,Notes
diputado_id,TEXT,Primary key,"Identificador estable del escaño oficial de diputación.","Stable identifier for the official deputy seat assignment.","DIP_<12 hex chars>.","Hash de la clave natural del escaño; para RP incluye circunscripción, partido, posición de lista e identidad de sexo porque INE puede repetir la posición."
election_id,TEXT,Required attribute,"Concurso electoral que produjo la integración oficial.","Election contest that produced the official composition.","DIP_MR_2024.","The identifier covers the full 2024 chamber integration even though it includes MR and RP seats."
legislature,INTEGER,Required attribute,"Legislatura federal a la que corresponde el escaño.","Federal legislature associated with the seat.","66.","Used to constrain the Gaceta identity roster."
seat_type,TEXT,Required attribute,"Principio por el que se asignó el escaño.","Seat-allocation principle.","MR, RP.","MR is mayoría relativa; RP is representación proporcional."
party_key,TEXT,Required attribute,"Partido político al que INE atribuye el escaño.","Political party to which INE assigns the seat.","MORENA, PAN, PRI, PVEM, PT, MC, PRD, CAND_INDEPENDIENTE.","This is seat ownership, not the coalition banner."
id_estado,INTEGER,Nullable attribute,"Clave de entidad para escaños MR.","State identifier for MR seats.","1-32 or NULL.","RP rows normally have NULL."
nombre_estado,TEXT,Nullable attribute,"Nombre de entidad para escaños MR.","State name for MR seats.","Mexican federal entities or NULL.","Preserved from the official integration source."
id_distrito_federal,INTEGER,Nullable attribute,"Distrito federal para escaños MR.","Federal district for MR seats.","Positive integer or NULL.","RP rows have NULL."
circunscripcion,INTEGER,Nullable attribute,"Circunscripción plurinominal para escaños RP.","Multi-member circumscription for RP seats.","1-5 or NULL.","MR rows have NULL."
numero_lista,INTEGER,Nullable attribute,"Posición de la candidatura en la lista o fórmula oficial.","Candidate position in the official list or slate.","Positive integer.","Part of the RP natural seat key."
identidad_sexo_generica,INTEGER,Nullable source attribute,"Código de identidad de sexo publicado en la integración oficial.","Sex-identity code published in the official integration.","1, 2 or NULL.","Part of the RP natural seat key because INE can repeat a party/list position across this field."
ine_candidate_name,TEXT,Nullable source attribute,"Nombre publicado por INE para la persona candidata.","Candidate name published by INE.","Text or NULL.","Three current source rows do not publish a candidate name."
ine_substitute_name,TEXT,Nullable source attribute,"Nombre de la persona candidata suplente publicado por INE.","Substitute-candidate name published by INE.","Text or NULL.","Used as the identity source only when the titular field is empty."
source_name_role,TEXT,Required QA attribute,"Campo oficial usado para enlazar la identidad.","Official field used for identity matching.","titular, suplente.","Makes fallback to a named suplente explicit and auditable."
display_name,TEXT,Nullable derived attribute,"Nombre oficial seleccionado con capitalización homogénea para interfaz.","Selected official name with normalized display casing.","Text or NULL.","Uses titular when present and suplente only when titular is empty."
normalized_name_key,TEXT,Nullable derived key,"Tokens del nombre sin acentos y ordenados para comparar fuentes.","Accent-free sorted name tokens for cross-source matching.","Pipe-delimited uppercase tokens or NULL.","Handles INE given-name-first versus Gaceta surname-first ordering."
gaceta_deputy_id,TEXT,Nullable foreign key,"Identificador de Gaceta enlazado cuando la correspondencia es confiable.","Linked Gaceta identifier when the match is reliable.","Values from dim_gaceta_deputy.deputy_id or NULL.","Use this key—not names—to join voting history."
gaceta_deputy_name,TEXT,Nullable audit attribute,"Nombre observado en Gaceta para la correspondencia seleccionada.","Gaceta name for the selected match.","Text or NULL.","Retained so reviewers can inspect the cross-source mapping."
match_method,TEXT,Required QA attribute,"Método y estado de la correspondencia de identidad.","Identity-match method and status.","exact_tokens, approximate_tokens, unmatched, missing_source_name.","Unmatched rows are intentionally not guessed; source_name_role identifies titular versus suplente."
match_score,REAL,Nullable QA attribute,"Similitud Jaccard de tokens para la correspondencia aplicada.","Token Jaccard similarity for the applied match.","0.0-1.0 or NULL.","Exact token matches equal 1.0."
source_file,TEXT,Required lineage attribute,"Ruta local del archivo oficial que originó el registro.","Local path of the official source file.","Path to INTEGRACION_CARGOS_PEF_2024.csv.","Supports reproducible rebuilds."
created_at,TIMESTAMP,System field,"Marca de tiempo generada al materializar la dimensión.","Timestamp generated when the dimension is materialized.","SQLite CURRENT_TIMESTAMP.","Recreated with the table."
