Column Name,Data Type,Role,Description (SPA),Description (ENG),Values / Domain,Notes
election_id,TEXT,Primary key,Identificador canonico del concurso electoral dentro del warehouse. Permite distinguir el mismo tipo de mesa/casilla entre ciclos y oficinas distintas.,Canonical election-contest identifier inside the warehouse. It distinguishes the same polling-station/casilla structure across years and offices.,"Examples: PRE_1994, PRE_2000, DIP_MR_2000, DIP_MR_2009, SEN_MR_2006, DIP_MR_2021, PRE_2024. MIN_2025, TDJ_2025, TEPJF_SS_2025, TEPJF_SR_2025, TCCA_2025, JD_2025.","Inserted from ELECTION_META in electoral/ingest.py. Also used as the partition/join key in facts and casillas. 19 contests: PRE/DIP_MR/SEN_MR for 2000, 2006, 2012, 2018, 2024; PRE only for 1994; DIP_MR for 2009, 2015, and 2021. Only MR (first-past-the-post) seats are loaded for DIP/SEN; RP is not modeled as a separate vote contest. See table_dictionaries/README.md for the full coverage matrix. Plus 6 contests (MIN_2025, TDJ_2025, TEPJF_SS_2025, TEPJF_SR_2025, TCCA_2025, JD_2025) for the 2025 judicial election, ingested separately by ingest_judicial_election() rather than the SCHEMA_MAP-driven ingest_election() path -- see the dictionary README's 2025 Judicial Election section."
year,INTEGER,Required attribute,Año calendario de la eleccion federal.,Calendar year of the federal election.,"1994, 2000, 2006, 2009, 2012, 2015, 2018, 2021, 2024, 2025.","This is the election year, not the ingestion year."
election_type,TEXT,Required attribute,Tipo de eleccion normalizado a una clave corta de oficina o camara.,Normalized short key for the election office or chamber.,"PRE, DIP, SEN, JUD.",Values come from pipeline metadata and are intentionally compact for filtering. JUD covers all six 2025 judicial races; see seat_method for how they differ from each other.
chamber,TEXT,Nullable attribute,"Camara legislativa asociada al concurso, cuando aplica.","Legislative chamber associated with the contest, when applicable.","deputies, senate, NULL.","Presidential elections have NULL because they are executive contests, not chamber contests."
seat_method,TEXT,Required attribute,Metodo de eleccion o asignacion representado por el concurso cargado.,Election or allocation method represented by the loaded contest.,"direct, fptp, national_at_large, regional_at_large, multi_winner_district.","The ingested additions are direct presidential contests, first-past-the-post/MR-style legislative contests, or (for the 2025 judicial election) national_at_large/regional_at_large/multi_winner_district judicial races -- see the dictionary README's 2025 Judicial Election section for what each means."
total_seats,INTEGER,Required attribute,Numero de cargos o escanos representados por el concurso segun la metadata del pipeline.,Number of offices or seats represented by the contest according to pipeline metadata.,1 for presidential; 300 for deputies MR-style loads; 96 for senate MR-style loads. 9 for SCJN ministers; 5 for the Tribunal de Disciplina Judicial; 2 for TEPJF Sala Superior; 15 for TEPJF Salas Regionales; 464 for circuit magistrates; 386 for district judges.,Metadata field; it is not computed from casilla-level results.
term_years,INTEGER,Required attribute,Duracion legal del cargo en años.,Legal term length in years.,"3 or 6 for federal legislative/presidential contests; 6, 8, or 12 for the 2025 judicial election (see Notes).","Used for descriptive metadata and downstream filtering. The 2025 judicial cohort's term_years reflects a one-off transition rule, not the reform's steady-state term: TDJ and TEPJF (Sala Superior and Salas Regionales) are 6, SCJN ministers are 12, and circuit magistrates/district judges are 8 for this cohort only (9 is the steady-state term starting with the next cohort)."
actas_esperadas,INTEGER,Nullable measure,"Numero de actas esperadas para la carrera, segun la publicacion oficial del INE.","Number of actas expected for the race, per INE's official publication.","Positive integer, or NULL for pre-2025 federal contests.",Judicial-election only; captured from the source file's own summary header rather than reconstructed from casillas.
actas_computadas,INTEGER,Nullable measure,Numero de actas efectivamente computadas al momento del corte.,Number of actas actually counted as of the cutoff.,"Positive integer, or NULL for pre-2025 federal contests.",Judicial-election only. 100% for all six 2025 races in the current snapshot.
pct_actas_computadas,REAL,Nullable measure,Porcentaje de actas computadas respecto de las esperadas.,Percentage of actas counted relative to those expected.,"0-100, or NULL for pre-2025 federal contests.","Judicial-election only; as published, not recomputed."
lista_nominal_actas_computadas,INTEGER,Nullable measure,Suma de lista nominal de las casillas cuyas actas ya fueron computadas.,Sum of the nominal voter list for casillas whose actas have already been counted.,"Positive integer, or NULL for pre-2025 federal contests.",Judicial-election only.
total_personas_votaron,INTEGER,Nullable measure,"Total nacional de personas que votaron en la carrera, segun el sistema de computos.","National total of people who voted in the race, per the counting system.","Positive integer, or NULL for pre-2025 federal contests.",Judicial-election only; denominator-independent turnout count as published by INE.
pct_participacion_ciudadana,REAL,Nullable measure,Porcentaje de participacion ciudadana oficial para la carrera.,Official citizen-participation percentage for the race.,"0-100, or NULL for pre-2025 federal contests.",Judicial-election only. Ranges 12.93-13.02 across the six 2025 races -- INE's headline figure for the election's record-low turnout.
total_votos,INTEGER,Nullable measure,"Total nacional de votos emitidos en la carrera (incluye nulos), segun el sistema de computos.","National total of votes cast in the race (nulls included), per the counting system.","Positive integer, or NULL for pre-2025 federal contests.","Judicial-election only; as published, not recomputed from fact_judicial_casilla_vote."
created_at,TIMESTAMP,System field,Marca de tiempo de insercion generada por SQLite.,SQLite-generated insertion timestamp.,CURRENT_TIMESTAMP default.,Warehouse-only field; not present in clean parquet inputs.
