Column Name,Data Type,Role,Description (SPA),Description (ENG),Values / Domain,Notes
gaceta_iniciativa_id,TEXT,Primary key,"Identificador canónico de una iniciativa de la Gaceta Parlamentaria.","Canonical identifier for one Gaceta Parlamentaria initiative.","Example: GACETA_INI_L66_636.","Generated from legislature and the source's own sequence_number."
legislature,INTEGER,Required attribute,"Número de legislatura federal.","Federal legislature number.","66 in current coverage.","Parsed from the /Gaceta/Iniciativas/ source hierarchy."
sequence_number,INTEGER,Required attribute,"Número secuencial de la iniciativa publicado por la fuente.","Sequential initiative number published by the source.","Positive integer, e.g. (636).","Part of the natural key; unique within a legislature."
title,TEXT,Source attribute,"Título o descripción de la iniciativa.","Title or description of the initiative.","Text.","First line of the source entry, before any proposer/committee lines."
proposer_type,TEXT,Required classification,"Tipo de proponente clasificado por expresión regular.","Regex-classified proposer type.","legislador, ejecutivo, minuta, otro.","otro means the proposer text did not match a known template; see needs_review."
proposer_name,TEXT,Nullable attribute,"Nombre del legislador proponente cuando se identifica.","Named legislator proposer, when identified.","Text or NULL.","NULL for ejecutivo, minuta, and otro rows, and for multi-signatory initiatives the regex could not cleanly split."
proposer_party,TEXT,Nullable attribute,"Grupo parlamentario del proponente cuando se identifica, tal como lo reporta la fuente.","Proposer's parliamentary group, when identified, exactly as reported by the source.","Text or NULL.","Raw source text: may be a full official name, an abbreviation, or -- for multi-signatory initiatives -- contaminated with co-signer names. See proposer_party_canonical."
proposer_party_canonical,TEXT,Nullable derived attribute,"Partido normalizado a la misma clave usada en el resto del proyecto.","Party normalized to the same key used elsewhere in the project.","MORENA, PAN, PRI, PRD, PVEM, PT, MC, IND, or NULL.","Derived from proposer_party by ingestion.congress_roster_ingest.canonical_party_from_text(); NULL when no recognizable party name or abbreviation was found in the source text (about 0.6% of legislador rows) -- not guessed."
proposer_raw,TEXT,Nullable source attribute,"Texto fuente que sustenta la clasificación del proponente.","Source text supporting the proposer classification.","Text or NULL.","NULL only for needs_review=1 rows, where the full entry text doesn't cleanly separate into a proposer clause."
comision,TEXT,Nullable attribute,"Comisión a la que fue turnada la iniciativa.","Committee the initiative was referred to.","Text or NULL.","Parsed from a 'Turnada a la Comisión de...' source line; absent for some entries."
gaceta_number,TEXT,Nullable source attribute,"Número de la Gaceta que publicó la iniciativa.","Gaceta issue number that published the initiative.","Source text or NULL.","Preserved as published."
gaceta_date,TEXT,Nullable source attribute,"Fecha de publicación de la Gaceta.","Gaceta publication date.","ISO date text or NULL.","Parsed from the same trailing source reference as gaceta_number and sequence_number."
vote_url,TEXT,Nullable foreign key,"URL de la votación resultante cuando la iniciativa llegó a votarse.","URL of the resulting vote, when the initiative reached a floor vote.","HTTPS URL or NULL.","Joins exactly against dim_gaceta_vote.source_url; most initiatives never reach a vote and are NULL here."
period_date,TEXT,Nullable source attribute,"Fecha de la sección diaria de la página de origen.","Date of the daily section on the source page.","ISO date text or NULL.","The day heading the entry was listed under; may differ from gaceta_date."
period_url,TEXT,Source reference,"URL de la página de periodo de origen.","URL of the source period page.","HTTPS URL.","One of the /Gaceta/Iniciativas/{legislature}/ period pages."
needs_review,INTEGER,Required QA flag,"Indica si el texto del proponente no coincidió con ninguna plantilla conocida.","Whether the proposer text didn't match any known template.","0 = no, 1 = yes.","About 4-5% of legislatura 66 rows; mostly multi-signatory joint initiatives. title is always preserved regardless."
