Column Name,Data Type,Role,Description (SPA),Description (ENG),Values / Domain,Notes
senado_iniciativa_id,INTEGER,Primary key,"Identificador de publicación asignado por el Senado.","Publication identifier assigned by the Senado.","Positive integer.","The source's own 'ID Publicación'; used directly as the primary key, not a derived hash."
category,TEXT,Source attribute,"Categoría del asunto tal como la reporta la herramienta de origen.","Category of the matter as reported by the source tool.","e.g. Iniciativas; Iniciativas de Legisladoras y Legisladores.","Both observed categories cover legislator-authored initiatives from the tipo=Inic feed."
title,TEXT,Source attribute,"Título o descripción de la iniciativa.","Title or description of the initiative.","Text.","Everything in the source entry after the matched proposer clause; the full entry text when unmatched (needs_review=1)."
proposer_type,TEXT,Required classification,"Tipo de proponente clasificado por expresión regular.","Regex-classified proposer type.","legislador, otro.","The tipo=Inic feed only covers legislator-authored initiatives; Ejecutivo federal and Minuta items live under the separate tipo=PEF / tipo=Minutas feeds, not crawled here."
proposer_name,TEXT,Nullable attribute,"Nombre del legislador proponente cuando se identifica.","Named legislator proposer, when identified.","Text or NULL.","NULL for otro rows, including most multi-signatory initiatives the regex could not cleanly split."
proposer_party,TEXT,Nullable attribute,"Grupo parlamentario del proponente cuando se identifica, tal como lo reporta la fuente.","Proposer's parliamentary group, when identified, exactly as reported by the source.","Text or NULL.","Raw source text: may be a full official name, an abbreviation, or -- for multi-signatory initiatives -- contaminated with co-signer names. See proposer_party_canonical."
proposer_party_canonical,TEXT,Nullable derived attribute,"Partido normalizado a la misma clave usada en el resto del proyecto.","Party normalized to the same key used elsewhere in the project.","MORENA, PAN, PRI, PVEM, PT, MC, IND, or NULL.","Derived from proposer_party by ingestion.congress_roster_ingest.canonical_party_from_text(); NULL when no recognizable party name or abbreviation was found in the source text (about 0.3% of legislador rows) -- not guessed."
proposer_raw,TEXT,Nullable source attribute,"Texto fuente que sustenta la clasificación del proponente.","Source text supporting the proposer classification.","Text or NULL.","NULL only for needs_review=1 rows."
comision,TEXT,Nullable attribute,"Comisión a la que fue turnada la iniciativa.","Committee the initiative was referred to.","Text or NULL.","Parsed from a 'Se dio turno directo a la Comisión de...' source line; absent for some entries."
fecha,TEXT,Source attribute,"Fecha de publicación de la iniciativa.","Publication date of the initiative.","ISO date text.","Parsed from the source's 'Fecha:' field."
source_url,TEXT,Source reference,"URL del documento de origen.","URL of the source document.","HTTPS URL.","Points at the full Gaceta del Senado / Comisión Permanente bulletin document."
needs_review,INTEGER,Required QA flag,"Indica si el texto del proponente no coincidió con ninguna plantilla conocida.","Whether the proposer text didn't match any known template.","0 = no, 1 = yes.","About 4% of rows; mostly multi-signatory joint initiatives. title is always preserved regardless."
