Column Name,Data Type,Role,Description (SPA),Description (ENG),Values / Domain,Notes
_GOTCHA,N/A,Warehouse-level warning,"ADVERTENCIA: para obtener el total de votos emitidos de una eleccion NO uses SUM(votes) ni COUNT(*) directamente sobre esta tabla.","WARNING: to get total votes cast for an election, do NOT use SUM(votes) or COUNT(*) directly on this table.","See Notes column for the correct query pattern.","COUNT(*) returns the number of (casilla, party) rows, not votes. SUM(votes) undercounts by 2-4.6% because it excludes num_votos_nulos and num_votos_can_nreg. Those two columns are aggregate-per-casilla values repeated on every party_key row for that casilla, so summing them directly overcounts by ~8-10x (once per party). Correct pattern: first GROUP BY (election_id, casilla_id) taking SUM(votes) as party_votes and MAX(num_votos_nulos), MAX(num_votos_can_nreg) to collapse the per-casilla duplication, THEN sum party_votes + nulos + can_nreg across casillas. Verified against official INE/Wikipedia totals for PRE_2006, PRE_2018, PRE_2024 (exact match) and PRE_2000 (within 0.004%)."
vote_id,INTEGER,Primary key,"Identificador surrogate generado por SQLite para cada renglon de votos en formato largo.","SQLite-generated surrogate identifier for each long-format vote row.","Autoincrement integer.","The analytical uniqueness is election_id + casilla_id + party_key."
election_id,TEXT,Foreign key; unique-key component,"Concurso electoral al que pertenece el voto contabilizado.","Election contest to which the counted vote row belongs.","Values from dim_election.election_id.","Required for joining facts to dimensions and for separating repeated casilla identifiers across contests."
casilla_id,TEXT,Unique-key component,"Casilla o acta donde se registro la votacion de la opcion electoral.","Polling station or acta where the vote total for the option was recorded.","Values matching dim_casilla.casilla_id within the same election_id.","The warehouse does not define a direct SQLite FK to the composite dim_casilla key, but this is the intended logical join."
party_key,TEXT,Foreign key; unique-key component,"Partido, coalicion u opcion electoral a la que corresponde el valor de votos.","Party, coalition, or vote option to which the vote value corresponds.","Values from dim_party.party_key.","Created by melting wide party columns into long format during cleaning."
votes,INTEGER,Required measure,"Votos emitidos para party_key en la casilla/acta y concurso especificos.","Votes cast for party_key in the specified polling station/acta and contest.","Non-negative integer; defaults to 0.","This is the core long-format vote measure. It excludes null votes and non-registered candidate votes unless those are modeled as party_key in a source-specific clean file. SUM(votes) alone underestimates total turnout by 2-4.6% -- see _GOTCHA row above for the correct total-votes query pattern."
num_votos_validos,INTEGER,Nullable aggregate measure,"Total de votos validos reportado por la fuente para la casilla/acta, cuando existe como campo agregado separado.","Total valid votes reported by the source for the polling station/acta, when available as a separate aggregate field.","Non-negative integer or NULL.","Mapped from VALIDOS in 2006. NULL for 1994, 2000, 2015, and 2021 additions because they do not provide that aggregate in the loaded schema."
num_votos_nulos,INTEGER,Nullable aggregate measure,"Total de votos nulos reportado por la fuente para la casilla/acta.","Total null votes reported by the source for the polling station/acta.","Non-negative integer or NULL.","Mapped from NULOS, VN, NO_VOTOS_NULOS, or VOTOS NULOS depending on cycle normalization. Repeated on every party_key row for the same casilla -- take MAX() per (election_id, casilla_id) before summing, never SUM() directly, or you overcount ~8-10x. See _GOTCHA row above."
num_votos_can_nreg,INTEGER,Nullable aggregate measure,"Total de votos para candidaturas no registradas reportado por la fuente.","Total votes for non-registered candidates reported by the source.","Non-negative integer or NULL.","Mapped from NO_REG, CAND_NO_REGIS, CNR, NO_REGISTRADOS, or CANDIDATO/A NO REGISTRADO/A depending on cycle normalization. Repeated on every party_key row for the same casilla -- take MAX() per (election_id, casilla_id) before summing, never SUM() directly. See _GOTCHA row above."
total_votos,INTEGER,Nullable aggregate measure,"Total de votos de la casilla/acta reportado o calculado por el archivo limpio del ciclo.","Total votes for the polling station/acta as reported or calculated by the cycle clean file.","Non-negative integer or NULL.","Mapped from TOTAL, TOTAL_VOTOS, or TOTAL_VOTOS_CALCULADOS depending on cycle. It is repeated on each party_key row for the same casilla -- take MAX() per (election_id, casilla_id) before using, and note it is only populated for a subset of cycles (see coverage matrix)."
created_at,TIMESTAMP,System field,"Marca de tiempo de insercion generada por SQLite.","SQLite-generated insertion timestamp.","CURRENT_TIMESTAMP default.","Warehouse-only field."
