"gaceta_vote_id","party_key","vote_choice","ordinal","deputy_name","vote_display","tile_number","x","y","tooltip"
"GACETA_L66_TABLA1OR1_2","MC","Contra",1,"Ballesteros Mancilla Laura Irais","No",1,1,-1,"<b>Ballesteros Mancilla Laura Irais</b><br>Partido: MC<br>Voto: No<br>Orden en la fuente: 1"
"GACETA_L66_TABLA1OR1_2","MC","Contra",2,"De Hoyos Walther Gustavo Adolfo","No",2,2,-1,"<b>De Hoyos Walther Gustavo Adolfo</b><br>Partido: MC<br>Voto: No<br>Orden en la fuente: 2"
"GACETA_L66_TABLA1OR1_2","MC","Contra",3,"Farías Bailon Francisco Javier","No",3,3,-1,"<b>Farías Bailon Francisco Javier</b><br>Partido: MC<br>Voto: No<br>Orden en la fuente: 3"
"GACETA_L66_TABLA1OR1_2","MC","Contra",4,"Flores Elizondo Patricia","No",4,4,-1,"<b>Flores Elizondo Patricia</b><br>Partido: MC<br>Voto: No<br>Orden en la fuente: 4"
"GACETA_L66_TABLA1OR1_2","MC","Contra",5,"García León María de Fátima","No",5,5,-1,"<b>García León María de Fátima</b><br>Partido: MC<br>Voto: No<br>Orden en la fuente: 5"
"GACETA_L66_TABLA1OR1_2","MC","Contra",6,"Gil Rullán Sergio","No",6,6,-1,"<b>Gil Rullán Sergio</b><br>Partido: MC<br>Voto: No<br>Orden en la fuente: 6"
"GACETA_L66_TABLA1OR1_2","MC","Contra",7,"Gómez Villalobos Tecutli José G.","No",7,7,-1,"<b>Gómez Villalobos Tecutli José G.</b><br>Partido: MC<br>Voto: No<br>Orden en la fuente: 7"
"GACETA_L66_TABLA1OR1_2","MC","Contra",8,"González Franco Amancay","No",8,8,-1,"<b>González Franco Amancay</b><br>Partido: MC<br>Voto: No<br>Orden en la fuente: 8"
"GACETA_L66_TABLA1OR1_2","MC","Contra",9,"Hernández García Laura","No",9,9,-1,"<b>Hernández García Laura</b><br>Partido: MC<br>Voto: No<br>Orden en la fuente: 9"
"GACETA_L66_TABLA1OR1_2","MC","Contra",10,"Longoria López Paola Michell","No",10,10,-1,"<b>Longoria López Paola Michell</b><br>Partido: MC<br>Voto: No<br>Orden en la fuente: 10"
"GACETA_L66_TABLA1OR1_2","MC","Contra",11,"Lozano Caballero Raúl","No",11,11,-1,"<b>Lozano Caballero Raúl</b><br>Partido: MC<br>Voto: No<br>Orden en la fuente: 11"
"GACETA_L66_TABLA1OR1_2","MC","Contra",12,"Lozoya Santillán Jorge Alfredo","No",12,12,-1,"<b>Lozoya Santillán Jorge Alfredo</b><br>Partido: MC<br>Voto: No<br>Orden en la fuente: 12"
"GACETA_L66_TABLA1OR1_2","MC","Contra",13,"Luna Vázquez Hugo Manuel","No",13,13,-1,"<b>Luna Vázquez Hugo Manuel</b><br>Partido: MC<br>Voto: No<br>Orden en la fuente: 13"
"GACETA_L66_TABLA1OR1_2","MC","Contra",14,"Mercado Castro Patricia","No",14,14,-1,"<b>Mercado Castro Patricia</b><br>Partido: MC<br>Voto: No<br>Orden en la fuente: 14"
"GACETA_L66_TABLA1OR1_2","MC","Contra",15,"Muñoz Moreno Anayeli","No",15,15,-1,"<b>Muñoz Moreno Anayeli</b><br>Partido: MC<br>Voto: No<br>Orden en la fuente: 15"
"GACETA_L66_TABLA1OR1_2","MC","Contra",16,"Núñez Sánchez Gloria Elizabeth","No",16,16,-1,"<b>Núñez Sánchez Gloria Elizabeth</b><br>Partido: MC<br>Voto: No<br>Orden en la fuente: 16"
"GACETA_L66_TABLA1OR1_2","MC","Contra",17,"Ortega Pacheco Ivonne Aracelly","No",17,17,-1,"<b>Ortega Pacheco Ivonne Aracelly</b><br>Partido: MC<br>Voto: No<br>Orden en la fuente: 17"
"GACETA_L66_TABLA1OR1_2","MC","Contra",18,"Pérez Gabino Gildardo","No",18,18,-1,"<b>Pérez Gabino Gildardo</b><br>Partido: MC<br>Voto: No<br>Orden en la fuente: 18"
